2018-11-13,,,,,,
# Leech samples collected Nov5-7  ,,,,,,
,,,,,,
,,,,,,
measurement,site,sample-type,sample,date-time_sampled,fill-stage,trip
1,Weeks-out,Rack,L1,,30,2
2,Weeks-out,Rack,L2,,35,2
3,Weeks-out,Rack,L3,,40,2
4,Weeks-out,Rack,L4,,45,2
5,Weeks-out,Rack,L5,,50,2
6,Leech-head,Rack,L1,,90,2
7,Leech-head,Rack,L2,,100,2
8,Leech-head,Rack,L3,,110,2
9,Leech-head,Rack,L4,,120,2
10,Leech-head,Rack,L5,,135,2
11,Leech-head,Grab,Grab,2018-11-06 12:20,,2
12,Chris-crk,Rack,L1,,30,2
13,Chris-crk,Rack,L2,,35,2
14,Chris-crk,Rack,L3,,45,2
15,Chris-crk,Rack,L4,,55,2
16,Chris-crk,Grab,Grab,2018-11-06 9:05,,2
17,Cragg-crk,Rack,L1,,22,2
18,Cragg-crk,Rack,L2,,35,2
19,Cragg-crk,Rack,L3,,45,2
20,Cragg-crk,Rack,L4,,50,2
21,Cragg-crk,Rack,L5,,75,2
22,Cragg-crk,Grab,Grab,2018-11-06 8:30,,2
23,West-Leech,Rack,L1,,40,2
24,West-Leech,Rack,L2,,45,2
25,West-Leech,Rack,L3,,56,2
26,West-Leech,Rack,L4,,69,2
27,West-Leech,Rack,L5,,75,2
28,West-Leech,Grab,Grab,2018-11-07 9:00,,2
29,Weeks-Lk-NE,Grab,Grab,2018-11-06 12:55,,2
30,Leech-main-confl,Grab,Grab,2018-11-07 9:00,,2
31,West-jordan,Grab,Grab,2018-11-06 13:55,,2
32,Jarvis,Grab,Grab,2018-11-06 13:55,,2
33,W.trib-to-Weeks,Grab,Grab,2018-11-06 13:55,,2
34,Boneyard,Grab,Grab,2018-11-07 9:00,,2
35,Weeks-Gate,Grab,Grab,2018-11-06 13:55,,2
36,Weeks-Lk-SE,Grab,Grab,2018-11-06 13:55,,2
37,Lower-Leech-blw-confl,Grab,Grab,2018-11-07 9:00,,2
38,Weeks-out,Grab,Grab,2018-11-06 13:55,,2
39,Lab,QA-QC,CAL-VER_5.73ppm,,,2
