# 2019-12-31,,,,,,
# Leech samples collected Dec 16-19 (trip20+21),,,,,,
,,,,,,
,,,,,,
measurement,site,sample-type,sample,date-time_sampled,fill-stage,trip
1,Tunnel,QA-QC,HoldTime-C6,2019-11-12,,20
2,Tunnel,QA-QC,HoldTime-C7,2019-11-12,,20
3,Tunnel,QA-QC,HoldTime-C8,2019-11-12,,20
4,Tunnel,QA-QC,HoldTime-C9,2019-11-12,,20
5,Tunnel,QA-QC,HoldTime-C10,2019-11-12,,20
6,Tunnel,Grab,Grab,2019-12-13 10:25,,20
7,Tunnel,Grab,Grab,2019-12-13 14:45,,20
8,Tunnel,Grab,Grab,2019-12-16 11:00,36,20
9,Tunnel,Rack,L1,,33,20
10,Tunnel,Rack,L2,,53,20
11,Tunnel,Rack,L3,,69,20
12,Tunnel,Grab,Grab,2019-12-18 10:30,34,20
13,Cragg-crk,Grab,Grab,2019-12-16 12:00,43,20
14,Cragg-crk,Rack,L1,,43,20
15,Cragg-crk,Rack,L2,,59,20
16,Cragg-crk,Rack,L3,,72,20
17,Chris-crk,Grab,Grab,2019-12-17 11:45,26,20
18,Cragg-crk,Grab,Grab,2019-12-17 14:00,,20
19,Cragg-crk,Grab,Grab,2019-12-19 12:00,63,20
20,Cragg-crk,Rack,L1,,45,20
21,Cragg-crk,Rack,L2,,63,20
22,Chris-crk,Grab,Grab,2019-12-16 13:35,27,20
23,Chris-crk,Rack,L1,,26,20
24,Chris-crk,Rack,L2,,36,20
25,Leech-head,Grab,Grab,2019-12-16 13:00,124,20
26,Leech-head,Rack,L1,,122,20
27,Leech-head,Rack,L2,,139,20
28,Leech-head,Grab,Grab,2019-12-17 12:00,,20
29,Weeks-out,Grab,Grab,2019-12-16 13:20,79,20
30,Weeks-out,Rack,L1,,65,20
31,Weeks-out,Rack,L2,,74,20
32,Weeks-out,Rack,L3,,87,20
33,Weeks-out,Grab,Grab,2019-12-17 10:00,,20
34,West-Leech,Grab,Grab,2019-12-16 9:45,32,20
35,West-Leech,Rack,L1,,34,20
36,West-Leech,Rack,L2,,50,20
37,Deception-crk,Grab,Grab,2019-12-13 9:00,,20
38,Rithet,Grab,Grab,2019-12-17,,20
39,Lazar,Grab,Grab,2019-12-17,,20
40,Jarvis,Grab,Grab,2019-12-17,,20
41,Judge,Grab,Grab,2019-12-17,,20
