# 2020-02-22,,,,,,
# Leech samples collected Feb 17-20 (trip23),,,,,,
,,,,,,
,,,,,,
measurement,site,sample-type,sample,date-time_sampled,fill-stage,trip
1,Deception-res,Grab,Grab,2020-02-18 9:00,,23
2,Rithet-crk,Grab,Grab,2020-02-20,,23
3,Judge-crk,Grab,Grab,2020-02-18 14:00,,23
4,Rithet-crk,Grab,Grab,2020-02-19 16:00,,23
5,Judge-crk,Grab,Grab,2020-02-19 15:00,,23
6,Jordan-trib,Grab,Grab,2020-01-09 14:09,,23
7,Cragg-crk,Grab,Grab,2020-02-18 12:20,,23
8,Cragg-crk,Grab,Grab,2020-01-30 13:30,,23
9,Cragg-crk,Grab,Grab,2020-01-10 12:03,,23
10,Cragg-crk,Grab,Grab,2020-01-09 9:58,,23
11,Cragg-crk,FL_Rack,FL2,,83,23
12,Cragg-crk,FL_Rack,FL1,,106,23
13,Cragg-crk,Rack,L3,,124,23
14,Cragg-crk,Rack,L2,,91,23
15,Cragg-crk,Rack,L1,,75,23
16,Cragg-crk,Grab,Grab,2020-02-19 14:00,,23
17,Cragg-crk,Grab,Grab,2020-02-06 15:30,,23
18,Chris-crk,Grab,Grab,2020-01-09 11:20,,23
19,Chris-crk,Rack,L6,,115,23
