# 2018-12-13,,,,,,
"# Leech samples collected Dec.6-7 *** the filling stages here were measured on a stick, prior to tape addition to stilling wells",,,,,,
,,,,,,
,,,,,,
measurement,site,sample-type,sample,date-time_sampled,fill-stage,trip
1,Weeks-out,Rack,L1,,65,4
2,Weeks-out,Rack,L2,,72,4
3,Weeks-out,Rack,L3,,79,4
4,Weeks-out,Rack,L4,,86,4
5,Weeks-out,Rack,L5,,90,4
6,Weeks-out,Rack,L6,,95,4
7,Weeks-out,Rack,L7,,105,4
8,Weeks-out,Grab,Grab,2018-12-07 12:15,50,4
9,Chris-crk,Rack,L1,,20,4
10,Chris-crk,Rack,L2,,27,4
11,Chris-crk,Rack,L3,,34,4
12,Chris-crk,Rack,L4,,41,4
13,Chris-crk,Rack,L5,,48,4
14,Chris-crk,Rack,L6,,56,4
15,Chris-crk,Rack,L7,,66,4
16,Leech-head,Rack,L1,,122,4
17,Leech-head,Rack,L2,,129,4
18,Leech-head,Rack,L3,,133,4
19,Leech-head,Rack,L4,,140,4
20,Leech-head,Rack,L5,,150,4
21,Leech-head,Rack,L6,,162,4
22,Leech-head,Rack,L7,,171,4
23,Leech-head,Grab,Grab,2018-12-07 10:30,109,4
24,Cragg-crk,Rack,L1,,53,4
25,Cragg-crk,Rack,L2,,62,4
26,Cragg-crk,Rack,L3,,73,4
27,Cragg-crk,Rack,L4,,84,4
28,Cragg-crk,Rack,L5,,96,4
29,Cragg-crk,Rack,L6,,110,4
30,Cragg-crk,Grab,Grab,2018-12-07 8:45,29,4
31,West-Leech,Rack,L1,,50,4
32,West-Leech,Rack,L2,,60,4
33,West-Leech,Rack,L3,,71,4
34,West-Leech,Rack,L4,,80,4
35,West-Leech,Rack,L5,,90,4
36,West-Leech,Rack,L6,,105,4
37,West-Leech,Grab,Grab,2018-12-06 13:30,25,4
38,Tunnel,Grab,Grab,2018-12-06 10:00,16,4
39,5S-above,Grab,Grab,2018-12-06 8:00,,4
40,5S-below,Grab,Grab,2018-12-06 8:00,,4
41,Mystery-bottle,Grab,Grab,,,4
