Average monthly weather anomalies from 1970 onward from Bear Creek Reservoir and Shawnigan Lake weather stations ,,,,,,,,,,
Year,Month,temp_min_depart,temp_max_depart,precip_depart_percent,precip_depart_mmmo,,,,,
2018,June,0.53,1.47,-32,-36.5,,,,,
2018,July,1.20,4.63,-95,-33.1,,,,,
2018,August,1.05,4.10,-89,-40.2,,,,,
2018,September,0.46,-0.78,64,50.75,,,,,
2018,October,0.22,0.64,-45,-60.2,,,,,
2018,November,2.21,1.42,-16,-15.45,,,,,
2018,December,1.36,0.85,32,119.1,,,,,
2019,January,1.86,1.57,19,65.05,,,,,
2019,February,-3.74,-4.87,-51,-123.2,,,,,
2019,March,-2.59,1.13,-86,-151,,,,,
2019,April,1.06,0.50,5,13.4,,,,,
2019,May,2.12,3.90,-69,-51.3,,,,,
2019,June,0.87,1.92,-75,-29.9,,,,,
2019,July,1.00,0.06,12,4.9,,,,,
2019,August,1.55,1.35,-40,-15.45,,,,,
2019,September,2.01,-1.25,108,66.1,,,,,
2019,October,-1.17,-0.91,-18,-18.4,,,,,
2019,November,0.05,1.39,-65,-212.8,,,,,
2019,December,2.21,0.80,-17,-32.5,,,,,
2020,January,1.07,-0.14,136,407.85,,,,,
2020,February,0.36,0.12,-60,-93,,,,,
,,,,,,,,,,
