Site Name,Water supply area (WSA),Latitude,Longitude,Strahler Order,Drainage_km2,Elevation_asl,Slope_median_degrees,TreeAge_average_yrs,ForestCover_percent,WetlandCover_percent,OpenwaterCover_percent,WarkGneiss_percent,ArgilliteMetagreywacke_percent,ChertArgilliteVolcanic_percent,Metagreywacke_percent,MetchosinVolcanics_percent,ColquitzGneiss_percent,GabbroStocks_percent,Limestone_percent,,Dominant_parentMaterial,Secondary_parentMaterial
Weeks crk,Leech,48.57592,-123.844,3,11.52,521,8,52,94.5,4.2,2.9,13.6,64.2,22.2,0,0,0,0,0,64.2,Argillite Metagreywacke (64.2%),Chert Argillite Volcanic (22.2%)
Chris crk,Leech,48.57691,-123.84,3,5.9,522,10,40,99,0.8,0.6,44.9,0,55.1,0,0,0,0,0,55.1,Chert Argillite Volcanic (55.1%),Wark Gneiss (44.9%)
Leech head,Leech,48.5666,-123.8257,4,20.59,476,9,48,96.6,2.6,1.8,20.5,42.1,37.4,0,0,0,0,0,42.1,Argillite Metagreywacke (42.1),Chert Argillite Volcanic (37.4%)
Cragg crk,Leech,48.54856,-123.7714,4,28.06,509,9,59,97.8,1.6,0.9,77.6,0,22.4,0,0,0,0,0,77.6,Wark Gneiss (77.6%),Chert Argillite Volcanic (22.4%)
West Leech,Leech,48.50635,-123.7862,4,20.85,248,9,49,98.5,0.4,0.3,0,76.8,0,7.2,16,0,0,0,76.8,Argillite Metagreywacke (76.8%),Metchosin Volcanics (16%)
Leech Tunnel,Leech,48.5069,-123.768,5,95.3,207,10,53,97.6,1.1,0.7,30.6,45.1,17.9,1.6,4.2,0,0.7,0,45.1,Argillite Metagreywacke (45.1%),Wark Gneiss (30.6%)
Judge crk,Sooke,48.58569,-123.6735,3,8.33,200,9,72,92.7,1.1,0,27,0,0,0,0,72.4,0,0.6,72.4,Colquitz Gneiss (72.4),Wark Gneiss (27%)
Rithet crk,Sooke,48.59123,-123.725,4,11.12,252,11,132,99.4,0.5,0,79.2,0,0,0,0,20.3,0,0.4,79.2,Wark Gneiss (79.2%)  ,Colquitz Gneiss (20.3%)
Deception (gulch),Sooke,48.51694,-123.7204,3,4.02,195,13,71,87.7,9.3,0,61.2,38.8,0,0,0,0,0,0,61.2,Wark Gneiss (61.2%),Argillite Metagreywacke (38.8%)
Jarvis crk,Leech,48.59677,-123.7981,2,1.51,742,5,37,93,4,0.000002,100,0,0,0,0,0,0,0,100,Wark Gneiss (100%),NA
Lazar crk,Leech,48.59179,-123.77,3,4.74,651,6,41,84,12,0.07,100,0,0,0,0,0,0,0,100,Wark Gneiss (100%),NA
Leech beach,Leech,48.50678,-123.7818,5,94.09,237,10,53,96,1.1,0.02,31,45.1,18.1,1.6,3.5,0,0.7,0,45.1,Argillite Metagreywacke (45.1%),Wark Gneiss (31%)
