Site number,1,2,3,4,5,6
Full Site name,Weeks Main Creek,Chris Creek,Leech River Head,Cragg Creek,West Leech River,Leech River Tunnel
Short-hand name (used throughout report),Weeks ,ChrisCrk,LeechHead,CraggCrk,WestLeech,Tunnel
Latitude,48.5757,48.5774,48.5665,48.5478,48.5069,48.507
Longitude,-123.8456,-123.8403,-123.8257,-123.7711,-123.7847,-123.7674
Elevation (m a.s.l) at installation,521,522,476,509,248,207
Sub-basin Class,Headwater,Headwater,Mainstem (headwater),Mainstem,Mainstem,Outlet (mainstem)
Strahler order,3,3,4,4,4,5
Drainage area (km2),11.5,5.9,20.6,28.1,20.9,95.3
Forest cover  (%),94.5,99,96.6,97.8,98.5,97.6
Wetland cover (%),4.2,0.8,2.6,1.6,0.4,1.1
Open water coverage (%),2.9,0.6,1.8,0.9,0.3,0.7
Average slope (degrees),9.1,10.5,10.2,9.5,11.3,11.8
Standard dev. of mean slope (degrees),7,6.2,7.1,6.1,7.9,8.5
Median slope (degrees),8,10,9,9,9,10
Maximum slope (degrees),44,38,50,40,56,61
Parent Material,,,,,,
Wark-Gneiss (%),13.6,44.9,20.5,77.6,0,30.6
Argillite-Metagreywacke (%),64.2,0,42.1,0,76.8,45.1
Metagreywacke (%),0,0,0,0,7.2,1.6
Chert-Argillite-Volcanic (%),22.2,55.1,37.4,22.4,0,17.9
Metchosin Volcanics (%),0,0,0,0,16,4.2
"Gabbro Stocks (Sooke-Gabbro, %)",0,0,0,0,0,0.7
Forest Harvest History,,,,,,
1980s forest harvest (%),11.2,56.3,28.6,30.8,21.6,24.2
1990s forest harvest (%),11.7,3,9.6,8.7,3,5.9
2000s forest harvest (%),4.5,3.4,4.1,1.1,1.1,2.9
2010 & 2011 forest harvest (%),0.6,0,0.4,0.7,0.1,0.9
