Site Name,Weeks crk,Chris crk,Leech head,Cragg crk,West Leech,Leech Tunnel,Judge crk,Rithet crk,Deception (gulch),Jarvis crk,Lazar crk,Leech beach
Latitude,48.57592,48.57691,48.5666,48.54856,48.50635,48.5069,48.58569,48.59123,48.51694,48.59677,48.59179,48.50678
Longitude,-123.844,-123.84,-123.8257,-123.7714,-123.7862,-123.768,-123.6735,-123.725,-123.7204,-123.7981,-123.77,-123.7818
Strahler Order,3,3,4,4,4,5,3,4,3,2,3,5
Drainage Area (km2),11.52,5.9,20.59,28.06,20.85,95.3,8.33,11.12,4.02,1.51,4.74,94.09
Elevation (m a.s.l),521,522,476,509,248,207,200,252,195,742,651,237
"Slope, median (degrees)",8,10,9,9,9,10,9,11,13,5,6,10
"Slope, max (degrees)",44,38,50,40,56,61,42,48,49,21,29,61
"Tree age (average, yrs)",52,40,48,59,49,53,72,132,71,37,41,53
Forest (%),94.5,99,96.6,97.8,98.5,97.6,92.7,99.4,87.7,93,84,96
Wetland (%),4.2,0.8,2.6,1.6,0.4,1.1,1.1,0.5,9.3,4,12,1.1
Open water (%),2.9,0.6,1.8,0.9,0.3,0.7,0,0,0,0.000002,0.07,0.02
Dominant parent material (by area),Argillite metagreywacke (64.2 %),Chert argillite volcanic (55.1 %),Argillite metagreywacke (42.1 %),Wark gneiss (77.6 %),Argillite metagreywacke (76.8 %),Argillite metagreywacke (45.1 %),Colquitz gneiss (72.4 %),Wark gneiss (79.2 %),Wark gneiss (61.2 %),Wark gneiss (100 %),Wark gneiss (100 %),Argillite metagreywacke (45.1 %)
Secondary parent material (by area),Chert argillite volcanic (22.2 %),Wark gneiss (44.9 %),Chert argillite volcanic (37.4 %),Chert argillite volcanic (22.4 %),Metchosin volcanics (16 %),Wark gneiss (30.6 %),Wark gneiss (27 %),Colquitz gneiss (20.3 %),Argillite metagreywacke (38.8 %),-,-,Wark gneiss (31 %)
Tertiary parent material (by area),Wark gneiss (13.6 %),-,Wark gneiss (20.5 %),-,Metagreywacke (7.2 %),Chert argillite volcanic (17.9 %),Limestone (0.6 %),Limestone (0.4 %),-,-,-,Chert argillite volcanic (18.1 %)
