trip,NPOC_ppm,site,sample_type,sample,dt_sampled,fillStage_cm,analysis,Turbid.FTUeq,NO3.Neq_ppm,TOCeq_ppm,DOCeq_ppm,SAC254_Abs.m,SAC436_Abs.m,pseudo254,Abs_250,Abs_365,sample_slope1,sample_slope2,SlopeRatio,E2E3,trip_end,three_seasons,two_seasons,SUVA
10,5.549,West-Leech,Grab,Grab,2019-06-12T17:30:00Z,NA,DOC,0,0,2.5116666666666667,2.146,5.234666666666667,0.12466666666666668,6.048616666666667,6.2561333333333335,1.4398333333333333,-0.9995415846874114,-0.9918773098723241,1.0077270391597866,4.345039935177683,2019-06-12,summer [June-Oct],dry,1.060048395313296
10,6.369,Tunnel,Grab,Grab,2019-06-12T18:30:00Z,NA,DOC,0,0,2.586,2.205,5.378,0.13033333333333333,6.22045,6.434,1.4921666666666666,-0.9996889811946408,-0.9921131763617904,1.0076360288456523,4.311850776276109,2019-06-12,summer [June-Oct],dry,1.1842692450725176
10,5.02,Cragg-crk,Grab,Grab,2019-06-12T19:15:00Z,NA,DOC,0,0,2.5549999999999997,2.257,5.504333333333333,0.137,6.158566666666667,6.333066666666666,1.4161333333333332,-0.9999688445671308,-0.99018945401181,1.0098762822767895,4.472083607946521,2019-06-12,summer [June-Oct],dry,0.9120087204021073
10,6.842,Leech-head,Grab,Grab,2019-06-12T20:15:00Z,NA,DOC,0,0,3.8516666666666666,3.2796666666666665,7.999333333333333,0.18666666666666668,9.2669,9.568200000000001,2.1488,-0.9997264362651532,-0.996800665458267,1.002935161370043,4.452810871183917,2019-06-12,summer [June-Oct],dry,0.8553212767730644
10,12.81,Weeks-out,Grab,Grab,2019-06-12T21:45:00Z,NA,DOC,0,0.562,14.369,11.367999999999999,27.7265,0.484,34.427525,35.86195,8.4801,-0.9998906263276917,-0.9996836970670278,1.0002069947337053,4.228953667999198,2019-06-12,summer [June-Oct],dry,0.46201287576866895
10,6.766,Chris-crk,Grab,Grab,2019-06-12T22:00:00Z,NA,DOC,0,0,3.094666666666667,2.6936666666666667,6.570333333333333,0.16133333333333333,7.453516666666666,7.6721,1.7188999999999999,-0.9998238315572598,-0.9939921948886725,1.0058668837628453,4.463377741578917,2019-06-12,summer [June-Oct],dry,1.0297803257064584
10,10.26,Jarvis,Grab,Grab,2019-06-12T22:20:00Z,NA,DOC,0,0.11366666666666667,8.23,6.860333333333333,16.733,0.29066666666666663,19.761483333333334,20.467433333333332,4.555433333333333,-0.9998434228915399,-0.9994883212649508,1.0003552834175589,4.492971762657047,2019-06-12,summer [June-Oct],dry,0.613159624693719
10,7.171,Lazar,Grab,Grab,2019-06-12T20:35:00Z,NA,DOC,0,0,2.965,2.562333333333333,6.249333333333333,0.158,7.139966666666667,7.3441,1.6739,-0.9998985701823285,-0.995184248960313,1.0047371340803883,4.387418603261843,2019-06-12,summer [June-Oct],dry,1.1474823981224664
10,12.68,Rithet,Grab,Grab,2019-06-12T23:00:00Z,NA,DOC,0,0,3.7616666666666667,3.113,7.593,0.18966666666666665,9.043466666666667,9.3094,2.3152666666666666,-0.9998006998764458,-0.9973324756854436,1.0024748258491292,4.020875925019436,2019-06-12,summer [June-Oct],dry,1.6699591729224286
10,0.8923,Lab,QA-QC,RO,NA,NA,DOC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-06-12,summer [June-Oct],dry,NA
11,1.266,Lab,QA-QC,RO,NA,NA,DOC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-06-28,summer [June-Oct],dry,NA
11,1.082,Lab,QA-QC,RO,NA,NA,DOC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-06-28,summer [June-Oct],dry,NA
