site,sample_type,trip,DateTime_sampled,collection,HoldTime_days
WestLeech,Grab,10,2019-06-12T16:35:00Z,2019-06-12T07:00:00Z,0
Tunnel,Grab,10,2019-06-12T17:35:00Z,2019-06-12T07:00:00Z,0
CraggCrk,Grab,10,2019-06-12T17:30:00Z,2019-06-12T07:00:00Z,0
LeechHead,Grab,10,2019-06-12T18:35:00Z,2019-06-12T07:00:00Z,0
Weeks,Grab,10,2019-06-12T20:35:00Z,2019-06-12T07:00:00Z,0
ChrisCrk,Grab,10,2019-06-12T20:35:00Z,2019-06-12T07:00:00Z,0
WestLeech,Grab,11,2019-06-28T16:35:00Z,2019-06-28T07:00:00Z,0
Tunnel,Grab,11,2019-06-28T17:35:00Z,2019-06-28T07:00:00Z,0
CraggCrk,Grab,11,2019-06-28T18:30:00Z,2019-06-28T07:00:00Z,0
LeechHead,Grab,11,2019-06-28T19:35:00Z,2019-06-28T07:00:00Z,0
Weeks,Grab,11,2019-06-28T19:35:00Z,2019-06-28T07:00:00Z,0
ChrisCrk,Grab,11,2019-06-28T19:35:00Z,2019-06-28T07:00:00Z,0
Tunnel,Grab,12,2019-07-15T16:35:00Z,2019-07-19T07:00:00Z,4
Tunnel,Grab,12,2019-07-16T16:35:00Z,2019-07-19T07:00:00Z,3
CraggCrk,Grab,12,2019-07-16T17:30:00Z,2019-07-19T07:00:00Z,3
WestLeech,Grab,12,2019-07-17T14:35:00Z,2019-07-19T07:00:00Z,2
LeechHead,Grab,12,2019-07-18T19:35:00Z,2019-07-19T07:00:00Z,1
Tunnel,Grab,12,2019-07-19T19:35:00Z,2019-07-19T07:00:00Z,0
ChrisCrk,Grab,13,2019-07-24T16:35:00Z,2019-07-26T07:00:00Z,2
Weeks,Grab,13,2019-07-24T18:35:00Z,2019-07-26T07:00:00Z,2
LeechHead,Grab,13,2019-07-24T18:35:00Z,2019-07-26T07:00:00Z,2
CraggCrk,Grab,13,2019-07-24T19:30:00Z,2019-07-26T07:00:00Z,2
CraggCrk,Grab,14,2019-08-21T15:30:00Z,2019-08-23T07:00:00Z,2
ChrisCrk,Grab,14,2019-08-21T18:35:00Z,2019-08-23T07:00:00Z,2
LeechHead,Grab,14,2019-08-22T14:30:00Z,2019-08-23T07:00:00Z,1
Weeks,Grab,14,2019-08-22T15:30:00Z,2019-08-23T07:00:00Z,1
Tunnel,Grab,14,2019-08-22T19:35:00Z,2019-08-23T07:00:00Z,1
WestLeech,Grab,14,2019-08-23T14:35:00Z,2019-08-23T07:00:00Z,0
LeechHead,Grab,14,2019-08-22T14:30:00Z,2019-08-23T07:00:00Z,1
CraggCrk,Grab,15,2019-09-20T15:33:00Z,2019-09-21T07:00:00Z,1
ChrisCrk,Grab,15,2019-09-20T16:35:00Z,2019-09-21T07:00:00Z,1
Weeks,Grab,15,2019-09-20T17:33:00Z,2019-09-21T07:00:00Z,1
WestLeech,Grab,15,2019-09-20T20:37:00Z,2019-09-21T07:00:00Z,1
Tunnel,Grab,15,2019-09-20T21:37:00Z,2019-09-21T07:00:00Z,1
Weeks,Grab,16,2019-10-12T20:33:00Z,2019-10-12T07:00:00Z,0
LeechHead,Grab,16,2019-10-12T17:30:00Z,2019-10-12T07:00:00Z,0
CraggCrk,Grab,16,2019-10-12T15:33:00Z,2019-10-12T07:00:00Z,0
ChrisCrk,Grab,16,2019-10-12T21:35:00Z,2019-10-12T07:00:00Z,0
WestLeech,Grab,16,2019-10-12T14:37:00Z,2019-10-12T07:00:00Z,0
Tunnel,Grab,16,2019-10-12T17:37:00Z,2019-10-12T07:00:00Z,0
LeechHead,Grab,17,2019-10-23T19:30:00Z,2019-10-24T07:00:00Z,1
LeechHead,Grab,17,2019-10-24T14:30:00Z,2019-10-24T07:00:00Z,0
Weeks,Grab,17,2019-10-23T19:33:00Z,2019-10-24T07:00:00Z,1
Weeks,Grab,17,2019-10-24T15:33:00Z,2019-10-24T07:00:00Z,0
ChrisCrk,Grab,17,2019-10-23T20:35:00Z,2019-10-24T07:00:00Z,1
ChrisCrk,Grab,17,2019-10-24T15:35:00Z,2019-10-24T07:00:00Z,0
CraggCrk,Grab,17,2019-10-23T17:33:00Z,2019-10-24T07:00:00Z,1
CraggCrk,Grab,17,2019-10-24T16:33:00Z,2019-10-24T07:00:00Z,0
Tunnel,Grab,17,2019-10-24T17:37:00Z,2019-10-24T07:00:00Z,0
WestLeech,Grab,17,2019-11-23T16:45:00Z,2019-10-24T07:00:00Z,-30
WestLeech,Grab,17,2019-10-24T16:37:00Z,2019-10-24T07:00:00Z,0
WestLeech,Grab,18,2019-11-13T17:37:00Z,2019-11-15T08:00:00Z,2
Weeks,Grab,18,2019-11-14T17:33:00Z,2019-11-15T08:00:00Z,1
ChrisCrk,Grab,18,2019-11-14T18:35:00Z,2019-11-15T08:00:00Z,1
LeechHead,Grab,18,2019-11-14T16:30:00Z,2019-11-15T08:00:00Z,1
CraggCrk,Grab,18,2019-11-13T07:33:00Z,2019-11-15T08:00:00Z,3
CraggCrk,Grab,18,2019-11-13T23:33:00Z,2019-11-15T08:00:00Z,2
CraggCrk,Grab,18,2019-11-14T20:33:00Z,2019-11-15T08:00:00Z,1
Tunnel,Grab,18,2019-11-12T19:37:00Z,2019-11-15T08:00:00Z,3
Tunnel,Grab,18,2019-11-13T21:37:00Z,2019-11-15T08:00:00Z,2
Tunnel,Grab,18,2019-11-13T21:37:00Z,2019-11-15T08:00:00Z,2
Tunnel,Grab,18,2019-11-13T21:37:00Z,2019-11-15T08:00:00Z,2
Tunnel,Grab,18,2019-11-13T21:37:00Z,2019-11-15T08:00:00Z,2
Tunnel,Grab,18,2019-11-13T21:37:00Z,2019-11-15T08:00:00Z,2
Weeks,Grab,19,2019-11-22T20:33:00Z,2019-11-22T08:00:00Z,0
ChrisCrk,Grab,19,2019-11-22T20:35:00Z,2019-11-22T08:00:00Z,0
LeechHead,Grab,19,2019-11-22T19:30:00Z,2019-11-22T08:00:00Z,0
CraggCrk,Grab,19,2019-11-22T18:33:00Z,2019-11-22T08:00:00Z,0
WestLeech,Grab,19,2019-11-22T16:37:00Z,2019-11-22T08:00:00Z,0
Tunnel,Grab,19,2019-11-22T17:37:00Z,2019-11-22T08:00:00Z,0
Weeks,Grab,2,2018-11-06T21:30:00Z,2018-11-07T08:00:00Z,1
LeechHead,Grab,2,2018-11-06T19:35:00Z,2018-11-07T08:00:00Z,1
ChrisCrk,Grab,2,2018-11-06T16:35:00Z,2018-11-07T08:00:00Z,1
CraggCrk,Grab,2,2018-11-06T16:30:00Z,2018-11-07T08:00:00Z,1
WestLeech,Grab,2,2018-11-07T16:35:00Z,2018-11-07T08:00:00Z,0
Tunnel,Grab,20,2019-12-13T17:37:00Z,2019-12-16T08:00:00Z,3
Tunnel,Grab,20,2019-12-13T22:37:00Z,2019-12-16T08:00:00Z,3
Tunnel,Grab,20,2019-12-16T18:37:00Z,2019-12-16T08:00:00Z,0
Tunnel,Grab,20,2019-12-18T18:30:00Z,2019-12-16T08:00:00Z,-2
CraggCrk,Grab,20,2019-12-16T19:33:00Z,2019-12-16T08:00:00Z,0
ChrisCrk,Grab,20,2019-12-17T19:45:00Z,2019-12-16T08:00:00Z,-1
CraggCrk,Grab,20,2019-12-17T22:00:00Z,2019-12-16T08:00:00Z,-1
CraggCrk,Grab,21,2019-12-19T19:33:00Z,2019-12-19T08:00:00Z,0
ChrisCrk,Grab,20,2019-12-16T21:35:00Z,2019-12-16T08:00:00Z,0
LeechHead,Grab,20,2019-12-16T20:30:00Z,2019-12-16T08:00:00Z,0
LeechHead,Grab,20,2019-12-17T20:00:00Z,2019-12-16T08:00:00Z,-1
Weeks,Grab,20,2019-12-16T20:33:00Z,2019-12-16T08:00:00Z,0
Weeks,Grab,20,2019-12-17T18:00:00Z,2019-12-16T08:00:00Z,-1
WestLeech,Grab,20,2019-12-16T17:37:00Z,2019-12-16T08:00:00Z,0
CraggCrk,Grab,22,2020-01-07T18:33:00Z,2020-01-07T08:00:00Z,0
Tunnel,Grab,22,2020-01-07T19:37:00Z,2020-01-07T08:00:00Z,0
Tunnel,Grab,22,2020-01-07T19:37:00Z,2020-01-07T08:00:00Z,0
LeechHead,Grab,23,2020-02-20T17:30:00Z,2020-02-20T08:00:00Z,0
Weeks,Grab,23,2020-02-20T19:33:00Z,2020-02-20T08:00:00Z,0
Weeks,Grab,23,2020-01-09T19:33:00Z,2020-02-20T08:00:00Z,42
Tunnel,Grab,23,2020-02-18T19:00:00Z,2020-02-20T08:00:00Z,2
Tunnel,Grab,23,2020-02-19T19:00:00Z,2020-02-20T08:00:00Z,1
Tunnel,Grab,23,2020-01-30T20:37:00Z,2020-02-20T08:00:00Z,21
WestLeech,Grab,23,2020-02-19T17:37:00Z,2020-02-20T08:00:00Z,1
WestLeech,Grab,23,2020-01-30T17:37:00Z,2020-02-20T08:00:00Z,21
WestLeech,Grab,23,2020-01-08T20:37:00Z,2020-02-20T08:00:00Z,43
WestLeech,Grab,23,2020-02-08T17:37:00Z,2020-02-20T08:00:00Z,12
ChrisCrk,Grab,23,2020-02-20T20:35:00Z,2020-02-20T08:00:00Z,0
ChrisCrk,Grab,23,2020-01-09T18:35:00Z,2020-02-20T08:00:00Z,42
CraggCrk,Grab,23,2020-02-06T23:30:00Z,2020-02-20T08:00:00Z,14
CraggCrk,Grab,23,2020-02-19T22:00:00Z,2020-02-20T08:00:00Z,1
CraggCrk,Grab,23,2020-01-09T17:33:00Z,2020-02-20T08:00:00Z,42
CraggCrk,Grab,23,2020-01-10T19:33:00Z,2020-02-20T08:00:00Z,41
CraggCrk,Grab,23,2020-01-30T21:33:00Z,2020-02-20T08:00:00Z,21
CraggCrk,Grab,23,2020-02-18T20:20:00Z,2020-02-20T08:00:00Z,2
ChrisCrk,Grab,3,2019-11-23T16:55:00Z,2018-11-23T08:00:00Z,-365
Weeks,Grab,3,2019-11-23T17:15:00Z,2018-11-23T08:00:00Z,-365
LeechHead,Grab,3,2019-11-23T18:00:00Z,2018-11-23T08:00:00Z,-365
CraggCrk,Grab,3,2019-11-23T19:15:00Z,2018-11-23T08:00:00Z,-365
WestLeech,Grab,3,2019-11-23T20:15:00Z,2018-11-23T08:00:00Z,-365
Tunnel,Grab,3,2019-11-23T21:45:00Z,2018-11-23T08:00:00Z,-365
Weeks,Grab,4,2018-12-07T19:35:00Z,2018-12-07T08:00:00Z,0
LeechHead,Grab,4,2018-12-07T18:30:00Z,2018-12-07T08:00:00Z,0
CraggCrk,Grab,4,2018-12-07T16:35:00Z,2018-12-07T08:00:00Z,0
WestLeech,Grab,4,2018-12-06T21:30:00Z,2018-12-07T08:00:00Z,1
Tunnel,Grab,4,2018-12-06T18:00:00Z,2018-12-07T08:00:00Z,1
WestLeech,Grab,5,2019-01-07T17:35:00Z,2019-01-08T08:00:00Z,1
Tunnel,Grab,5,2019-01-07T19:30:00Z,2019-01-08T08:00:00Z,1
LeechHead,Grab,5,2019-01-07T21:35:00Z,2019-01-08T08:00:00Z,1
Weeks,Grab,5,2019-01-07T22:30:00Z,2019-01-08T08:00:00Z,1
ChrisCrk,Grab,5,2019-01-07T22:30:00Z,2019-01-08T08:00:00Z,1
