trip,site,sample_type,sample,dt_sampled,fillStage_cm,Turbid.FTUeq,NO3.Neq_ppm,TOCeq_ppm,DOCeq_ppm,SAC254_Abs.m,SAC436_Abs.m
0,Lab,Cal,0 ppm,NA,NA,0,0,1.3803333333333334,1.1923333333333335,2.9086666666666665,0.096
0,Lab,Cal,8.1295 ppm,NA,NA,0,1.7,7.351666666666667,7.083,17.276,0.09433333333333334
0,Lab,Cal,9.5867 ppm,NA,NA,0,1.712,8.611,8.338,20.336666666666666,0.098
0,Lab,Cal,12.0184 ppm,NA,NA,0,NaN,10.308333333333334,10.045,24.5,0.10666666666666666
2,Lab,QA-QC,CAL-VER_5.73ppm,NA,NA,0,1.539,6.54,6.133,NaN,NaN
2,West-Leech,Grab,Grab,2018-11-07T17:00:00Z,NA,0,0.114,8.005,6.598,NaN,NaN
2,West-Leech,Rack,L1,NA,40,0.459,0.67,14.308,11.211,NaN,NaN
2,West-Leech,Rack,L2,NA,45,0.123,0.826,15.399,12.238,NaN,NaN
2,West-Leech,Rack,L3,NA,56,0,0.473,11.979,9.502,NaN,NaN
2,West-Leech,Rack,L4,NA,69,0,0.511,13.344,10.507,NaN,NaN
2,West-Leech,Rack,L5,NA,75,0.955,0.547,13.504,10.544,NaN,NaN
2,Cragg-crk,Grab,Grab,2018-11-06T16:30:00Z,NA,0,0.149,8.044,6.621,NaN,NaN
2,Cragg-crk,Rack,L1,NA,22,0,0.41,7.065,5.588,NaN,NaN
2,Cragg-crk,Rack,L2,NA,35,0,0.696,9.076,7.292,NaN,NaN
2,Cragg-crk,Rack,L3,NA,45,0,0.625,10.915,9.02,NaN,NaN
2,Cragg-crk,Rack,L4,NA,50,0,0.657,11.478,9.407,NaN,NaN
2,Cragg-crk,Rack,L5,NA,75,0,0.53,12.117,9.871,NaN,NaN
2,Leech-head,Grab,Grab,2018-11-06T20:20:00Z,NA,0,0.496,13.972,11.229,NaN,NaN
2,Leech-head,Rack,L1,NA,80,0,0.56,12.67,10.007,NaN,NaN
2,Leech-head,Rack,L2,NA,90,0.344,0.867,13.91,11.038,NaN,NaN
2,Leech-head,Rack,L3,NA,100,0,0.641,13.868,11.084,NaN,NaN
2,Leech-head,Rack,L4,NA,110,0,0.621,13.978,11.256,NaN,NaN
2,Leech-head,Rack,L5,NA,120,0,0.778,15.382,12.267,NaN,NaN
2,Weeks-out,Grab,Grab,2018-11-06T21:55:00Z,NA,0,0.538,16.339,13.075,NaN,NaN
2,Weeks-out,Rack,L1,NA,30,0,0.675,19.923,15.735,NaN,NaN
2,Weeks-out,Rack,L2,NA,35,0,0.634,17.601,13.985,NaN,NaN
2,Weeks-out,Rack,L3,NA,40,0,0.749,15.616,12.323,NaN,NaN
2,Weeks-out,Rack,L4,NA,45,0,0.709,16.803,13.264,NaN,NaN
2,Weeks-out,Rack,L5,NA,50,0,NaN,NaN,NaN,NaN,NaN
2,Chris-crk,Grab,Grab,2018-11-06T17:05:00Z,NA,0,0.027,6.198,5.137,NaN,NaN
2,Chris-crk,Rack,L1,NA,30,0,0.252,8.861,7.147,NaN,NaN
2,Chris-crk,Rack,L2,NA,35,0,0.344,10.014,8.04,NaN,NaN
2,Chris-crk,Rack,L3,NA,45,0,0.521,11.884,9.356,NaN,NaN
2,Chris-crk,Rack,L4,NA,55,0,0.403,10.784,8.635,NaN,NaN
2,Jarvis,Grab,Grab,NA,NA,0,0.62,17.378,13.993,NaN,NaN
2,West-Jordan,Grab,Grab,NA,NA,0,0.006,6.411,5.033,NaN,NaN
2,Leech-downstreamconf,Grab,Grab,NA,NA,0,0.1935,8.789,7.1545000000000005,NaN,NaN
2,Weeks-Lk-NE,Grab,Grab,NA,NA,0,0.035,5.71,4.642,NaN,NaN
2,W.trib-to-Weeks,Grab,Grab,NA,NA,0,NaN,NaN,NaN,NaN,NaN
2,Boneyard,Grab,Grab,NA,NA,0,0.234,9.693,7.859,NaN,NaN
2,Weeks-Gate,Grab,Grab,NA,NA,0,0.538,13.802,11.227,NaN,NaN
2,Weeks-Lk-SE,Grab,Grab,NA,NA,0,0.346,9.889,7.81,NaN,NaN
3,Lab,QA-QC,RO,NA,NA,0,0,2.045,1.617,NaN,NaN
3,West-Leech,Grab,Grab,2019-11-23T20:15:00Z,NA,0,0.388,11.026,8.913,NaN,NaN
3,West-Leech,Rack,L1,NA,40,0,0.25,8.912,7.045,NaN,NaN
3,West-Leech,Rack,L2,NA,48,0,0.424,11.27,8.923,NaN,NaN
3,Tunnel,Grab,Grab,2019-11-23T21:45:00Z,NA,0,0.311,9.729,7.87,NaN,NaN
3,Cragg-crk,Grab,Grab,2019-11-23T19:15:00Z,NA,0,0.261,8.648,7.071,NaN,NaN
3,Cragg-crk,Rack,L1,NA,45,0,0.3,9.253,7.389,NaN,NaN
