source,Turbid.FTUeq,NO3.Neq_ppm,TOCeq_ppm,DOCeq_ppm,SAC254_Abs.m,SAC436_Abs.m,trip,measurement,site,sample_type,sample,dt_sampled,fillStage_cm
Cal0,0,0,1.393,1.185,2.89,0.094,0,1,Lab,Cal,0 ppm,NA,NA
Cal0,0,0,1.391,1.177,2.872,0.087,0,2,Lab,Cal,0 ppm,NA,NA
Cal0,0,0,1.357,1.215,2.964,0.107,0,3,Lab,Cal,0 ppm,NA,NA
Cal0,0,1.735,7.371,7.064,17.23,0.084,0,4,Lab,Cal,8.1295 ppm,NA,NA
Cal0,0,1.723,7.31,7.083,17.277,0.095,0,5,Lab,Cal,8.1295 ppm,NA,NA
Cal0,0,1.642,7.374,7.102,17.321,0.104,0,6,Lab,Cal,8.1295 ppm,NA,NA
Cal0,0,1.613,8.619,8.333,20.325,0.095,0,7,Lab,Cal,9.5867 ppm,NA,NA
Cal0,0,1.781,8.606,8.359,20.387,0.11,0,8,Lab,Cal,9.5867 ppm,NA,NA
Cal0,0,1.742,8.608,8.322,20.298,0.089,0,9,Lab,Cal,9.5867 ppm,NA,NA
Cal0,0,NaN,10.328,10.031,24.466,0.103,0,10,Lab,Cal,12.0184 ppm,NA,NA
Cal0,0,NaN,10.301,10.036,24.478,0.099,0,11,Lab,Cal,12.0184 ppm,NA,NA
Cal0,0,NaN,10.296,10.068,24.556,0.118,0,12,Lab,Cal,12.0184 ppm,NA,NA
Cal0,0,0,1.393,1.185,2.89,0.094,0,1,Jarvis-lake,Grab,Secchi,NA,NA
Cal0,0,0,1.391,1.177,2.872,0.087,0,2,Jarvis-lake,Grab,Secchi,NA,NA
Cal0,0,0,1.357,1.215,2.964,0.107,0,3,Jarvis-lake,Grab,Secchi-1m,NA,NA
Cal0,0,1.735,7.371,7.064,17.23,0.084,0,4,Jarvis-lake,Grab,Secchi-1m,NA,NA
Cal0,0,1.723,7.31,7.083,17.277,0.095,0,5,Jarvis-lake,Grab,Surface,NA,NA
Cal0,0,1.642,7.374,7.102,17.321,0.104,0,6,Jarvis-lake,Grab,Surface,NA,NA
Cal0,0,1.613,8.619,8.333,20.325,0.095,0,7,Weeks-lake,Grab,Secchi+1m,NA,NA
Cal0,0,1.781,8.606,8.359,20.387,0.11,0,8,Weeks-lake,Grab,Secchi+1m,NA,NA
Cal0,0,1.742,8.608,8.322,20.298,0.089,0,9,Weeks-lake,Grab,Secchi,NA,NA
