Trip,Parameters,UNITS,MAC,AO,OG,site,metals_values,NPOC_ppm,sample_type,sample,dt_sampled.x,fillStage_cm.x,analysis,dt_sampled.y,fillStage_cm.y,Turbid.FTUeq,NO3.Neq_ppm,TOCeq_ppm,DOCeq_ppm,SAC254_Abs.m,SAC436_Abs.m,dt_sampled,fillStage_cm,pseudo254,Abs_250,Abs_365,SlopeRatio,E2E3,trip_end,three_seasons,two_seasons,SUVA,Site,metal_parameters
3,Total Hardness (CaCO3),mg/L,NA,NA,NA,WESTLEECH,5.1,6.124,Grab,Grab,2019-11-23T20:15:00Z,NA,DOC,2019-11-23T20:15:00Z,NA,0,0.388,11.026,8.913,NaN,NaN,2019-11-23T20:15:00Z,NA,26.44025,27.4877,6.4665,0.9999021752453482,4.250784814041599,2018-11-23,early wet [Oct-Dec],wet,NaN,WESTLEECH,Total Hardness (CaCO3)
3,Total Hardness (CaCO3),mg/L,NA,NA,NA,WEEKSOUT,7.88,10.49,Grab,Grab,2019-11-23T17:15:00Z,NA,DOC,2019-11-23T17:15:00Z,NA,0.42,0.965,17.871,14.057,NaN,NaN,2019-11-23T17:15:00Z,NA,42.6319,44.7732,10.7305,NA,4.172517590047063,2018-11-23,early wet [Oct-Dec],wet,NaN,WEEKSOUT,Total Hardness (CaCO3)
3,Total Hardness (CaCO3),mg/L,NA,NA,NA,TUNNEL,7.33,5.653,Grab,Grab,2019-11-23T21:45:00Z,NA,DOC,2019-11-23T21:45:00Z,NA,0,0.311,9.729,7.87,NaN,NaN,2019-11-23T21:45:00Z,NA,23.34055,24.2436,5.697,0.9997208331901598,4.2555028962611905,2018-11-23,early wet [Oct-Dec],wet,NaN,TUNNEL,Total Hardness (CaCO3)
3,Total Hardness (CaCO3),mg/L,NA,NA,NA,LEECHHEAD,8.14,7.675,Grab,Grab,2019-11-23T18:00:00Z,NA,DOC,2019-11-23T18:00:00Z,NA,0,0.577,13.674,11.014,NaN,NaN,2019-11-23T18:00:00Z,NA,32.7488,34.1711,7.8799,0.9998803752993213,4.336489041739108,2018-11-23,early wet [Oct-Dec],wet,NaN,LEECHHEAD,Total Hardness (CaCO3)
3,Total Hardness (CaCO3),mg/L,NA,NA,NA,CRAGGCREEK,8.47,5.177,Grab,Grab,2019-11-23T19:15:00Z,NA,DOC,2019-11-23T19:15:00Z,NA,0,0.261,8.648,7.071,NaN,NaN,2019-11-23T19:15:00Z,NA,20.72645,21.5326,4.884,1.0000674071651272,4.408804258804258,2018-11-23,early wet [Oct-Dec],wet,NaN,CRAGGCREEK,Total Hardness (CaCO3)
3,Total Hardness (CaCO3),mg/L,NA,NA,NA,CHRISCREEK,8.25,4.338,Grab,Grab,2019-11-23T16:55:00Z,NA,DOC,2019-11-23T16:55:00Z,NA,0,0.205,7.425,6.044,NaN,NaN,2019-11-23T16:55:00Z,NA,17.84105,18.4992,4.4175,0.9997776428493218,4.1877079796264844,2018-11-23,early wet [Oct-Dec],wet,NaN,CHRISCREEK,Total Hardness (CaCO3)
3,Total Mercury (Hg),ug/L,1,NA,NA,WESTLEECH,NA,6.124,Grab,Grab,2019-11-23T20:15:00Z,NA,DOC,2019-11-23T20:15:00Z,NA,0,0.388,11.026,8.913,NaN,NaN,2019-11-23T20:15:00Z,NA,26.44025,27.4877,6.4665,0.9999021752453482,4.250784814041599,2018-11-23,early wet [Oct-Dec],wet,NaN,WESTLEECH,Total Mercury (Hg)
3,Total Mercury (Hg),ug/L,1,NA,NA,WEEKSOUT,NA,10.49,Grab,Grab,2019-11-23T17:15:00Z,NA,DOC,2019-11-23T17:15:00Z,NA,0.42,0.965,17.871,14.057,NaN,NaN,2019-11-23T17:15:00Z,NA,42.6319,44.7732,10.7305,NA,4.172517590047063,2018-11-23,early wet [Oct-Dec],wet,NaN,WEEKSOUT,Total Mercury (Hg)
3,Total Mercury (Hg),ug/L,1,NA,NA,TUNNEL,NA,5.653,Grab,Grab,2019-11-23T21:45:00Z,NA,DOC,2019-11-23T21:45:00Z,NA,0,0.311,9.729,7.87,NaN,NaN,2019-11-23T21:45:00Z,NA,23.34055,24.2436,5.697,0.9997208331901598,4.2555028962611905,2018-11-23,early wet [Oct-Dec],wet,NaN,TUNNEL,Total Mercury (Hg)
3,Total Mercury (Hg),ug/L,1,NA,NA,LEECHHEAD,NA,7.675,Grab,Grab,2019-11-23T18:00:00Z,NA,DOC,2019-11-23T18:00:00Z,NA,0,0.577,13.674,11.014,NaN,NaN,2019-11-23T18:00:00Z,NA,32.7488,34.1711,7.8799,0.9998803752993213,4.336489041739108,2018-11-23,early wet [Oct-Dec],wet,NaN,LEECHHEAD,Total Mercury (Hg)
3,Total Mercury (Hg),ug/L,1,NA,NA,CRAGGCREEK,NA,5.177,Grab,Grab,2019-11-23T19:15:00Z,NA,DOC,2019-11-23T19:15:00Z,NA,0,0.261,8.648,7.071,NaN,NaN,2019-11-23T19:15:00Z,NA,20.72645,21.5326,4.884,1.0000674071651272,4.408804258804258,2018-11-23,early wet [Oct-Dec],wet,NaN,CRAGGCREEK,Total Mercury (Hg)
3,Total Mercury (Hg),ug/L,1,NA,NA,CHRISCREEK,NA,4.338,Grab,Grab,2019-11-23T16:55:00Z,NA,DOC,2019-11-23T16:55:00Z,NA,0,0.205,7.425,6.044,NaN,NaN,2019-11-23T16:55:00Z,NA,17.84105,18.4992,4.4175,0.9997776428493218,4.1877079796264844,2018-11-23,early wet [Oct-Dec],wet,NaN,CHRISCREEK,Total Mercury (Hg)
3,Total Calcium (Ca),mg/L,NA,NA,NA,WESTLEECH,1.42,6.124,Grab,Grab,2019-11-23T20:15:00Z,NA,DOC,2019-11-23T20:15:00Z,NA,0,0.388,11.026,8.913,NaN,NaN,2019-11-23T20:15:00Z,NA,26.44025,27.4877,6.4665,0.9999021752453482,4.250784814041599,2018-11-23,early wet [Oct-Dec],wet,NaN,WESTLEECH,Total Calcium (Ca)
