site,sample_type,number_of_samples
West-Leech,Grab,20
West-Leech,Rack,36
Tunnel,Grab,39
Tunnel,Rack,28
Cragg-crk,Grab,29
Cragg-crk,Rack,32
Leech-head,Grab,21
Leech-head,Rack,25
Weeks-out,Grab,24
Weeks-out,Rack,29
Chris-crk,Grab,20
Chris-crk,Rack,21
Jarvis,Grab,14
Lazar,Grab,11
Rithet,Grab,13
Deception-res,Grab,3
Weeks-Lake,Grab,1
Worley-Lake,Grab,1
Jarvis-Lake,Grab,1
Leech-upstreamconfluence,Grab,1
W.L-Falls,Grab,1
West-Jordan,Grab,2
Leech-downstreamconf,Grab,3
Survey-East,Grab,1
Judge-crk,Grab,7
Deception-crk,Grab,2
Weeks-Lk-NE,Grab,1
W.trib-to-Weeks,Grab,1
Boneyard,Grab,7
Weeks-Gate,Grab,1
Weeks-Lk-SE,Grab,1
5S-above,Grab,1
5S-below,Grab,1
Mystery-bottle,Grab,1
Rithet-S,Grab,1
