trip,site,sample_type,sample,dt_sampled,fillStage_cm,analyte,result
10,West-Leech,Grab,Grab,2019-06-12T17:30:00Z,NA,NPOC_ppm,5.549
10,West-Leech,Grab,Grab,2019-06-12T17:30:00Z,NA,Turbid.FTUeq,0
10,West-Leech,Grab,Grab,2019-06-12T17:30:00Z,NA,NO3.Neq_ppm,0
10,West-Leech,Grab,Grab,2019-06-12T17:30:00Z,NA,TOCeq_ppm,2.491
10,West-Leech,Grab,Grab,2019-06-12T17:30:00Z,NA,DOCeq_ppm,2.111
10,West-Leech,Grab,Grab,2019-06-12T17:30:00Z,NA,SAC254_Abs.m,5.149
10,West-Leech,Grab,Grab,2019-06-12T17:30:00Z,NA,SAC436_Abs.m,0.114
10,West-Leech,Grab,Grab,2019-06-12T17:30:00Z,NA,NPOC_ppm,5.549
10,West-Leech,Grab,Grab,2019-06-12T17:30:00Z,NA,Turbid.FTUeq,0
10,West-Leech,Grab,Grab,2019-06-12T17:30:00Z,NA,NO3.Neq_ppm,0
10,West-Leech,Grab,Grab,2019-06-12T17:30:00Z,NA,TOCeq_ppm,2.513
10,West-Leech,Grab,Grab,2019-06-12T17:30:00Z,NA,DOCeq_ppm,2.149
10,West-Leech,Grab,Grab,2019-06-12T17:30:00Z,NA,SAC254_Abs.m,5.242
10,West-Leech,Grab,Grab,2019-06-12T17:30:00Z,NA,SAC436_Abs.m,0.12
10,West-Leech,Grab,Grab,2019-06-12T17:30:00Z,NA,NPOC_ppm,5.549
10,West-Leech,Grab,Grab,2019-06-12T17:30:00Z,NA,Turbid.FTUeq,0
10,West-Leech,Grab,Grab,2019-06-12T17:30:00Z,NA,NO3.Neq_ppm,0
10,West-Leech,Grab,Grab,2019-06-12T17:30:00Z,NA,TOCeq_ppm,2.531
10,West-Leech,Grab,Grab,2019-06-12T17:30:00Z,NA,DOCeq_ppm,2.178
10,West-Leech,Grab,Grab,2019-06-12T17:30:00Z,NA,SAC254_Abs.m,5.313
10,West-Leech,Grab,Grab,2019-06-12T17:30:00Z,NA,SAC436_Abs.m,0.14
10,Tunnel,Grab,Grab,2019-06-12T18:30:00Z,NA,NPOC_ppm,6.369
10,Tunnel,Grab,Grab,2019-06-12T18:30:00Z,NA,Turbid.FTUeq,0
10,Tunnel,Grab,Grab,2019-06-12T18:30:00Z,NA,NO3.Neq_ppm,0
10,Tunnel,Grab,Grab,2019-06-12T18:30:00Z,NA,TOCeq_ppm,2.624
10,Tunnel,Grab,Grab,2019-06-12T18:30:00Z,NA,DOCeq_ppm,2.175
10,Tunnel,Grab,Grab,2019-06-12T18:30:00Z,NA,SAC254_Abs.m,5.306
10,Tunnel,Grab,Grab,2019-06-12T18:30:00Z,NA,SAC436_Abs.m,0.118
10,Tunnel,Grab,Grab,2019-06-12T18:30:00Z,NA,NPOC_ppm,6.369
10,Tunnel,Grab,Grab,2019-06-12T18:30:00Z,NA,Turbid.FTUeq,0
10,Tunnel,Grab,Grab,2019-06-12T18:30:00Z,NA,NO3.Neq_ppm,0
10,Tunnel,Grab,Grab,2019-06-12T18:30:00Z,NA,TOCeq_ppm,2.57
10,Tunnel,Grab,Grab,2019-06-12T18:30:00Z,NA,DOCeq_ppm,2.214
10,Tunnel,Grab,Grab,2019-06-12T18:30:00Z,NA,SAC254_Abs.m,5.399
10,Tunnel,Grab,Grab,2019-06-12T18:30:00Z,NA,SAC436_Abs.m,0.132
10,Tunnel,Grab,Grab,2019-06-12T18:30:00Z,NA,NPOC_ppm,6.369
10,Tunnel,Grab,Grab,2019-06-12T18:30:00Z,NA,Turbid.FTUeq,0
10,Tunnel,Grab,Grab,2019-06-12T18:30:00Z,NA,NO3.Neq_ppm,0
10,Tunnel,Grab,Grab,2019-06-12T18:30:00Z,NA,TOCeq_ppm,2.564
10,Tunnel,Grab,Grab,2019-06-12T18:30:00Z,NA,DOCeq_ppm,2.226
10,Tunnel,Grab,Grab,2019-06-12T18:30:00Z,NA,SAC254_Abs.m,5.429
10,Tunnel,Grab,Grab,2019-06-12T18:30:00Z,NA,SAC436_Abs.m,0.141
10,Cragg-crk,Grab,Grab,2019-06-12T19:15:00Z,NA,NPOC_ppm,5.02
10,Cragg-crk,Grab,Grab,2019-06-12T19:15:00Z,NA,Turbid.FTUeq,0
10,Cragg-crk,Grab,Grab,2019-06-12T19:15:00Z,NA,NO3.Neq_ppm,0
10,Cragg-crk,Grab,Grab,2019-06-12T19:15:00Z,NA,TOCeq_ppm,2.574
10,Cragg-crk,Grab,Grab,2019-06-12T19:15:00Z,NA,DOCeq_ppm,2.254
10,Cragg-crk,Grab,Grab,2019-06-12T19:15:00Z,NA,SAC254_Abs.m,5.498
10,Cragg-crk,Grab,Grab,2019-06-12T19:15:00Z,NA,SAC436_Abs.m,0.136
10,Cragg-crk,Grab,Grab,2019-06-12T19:15:00Z,NA,NPOC_ppm,5.02
10,Cragg-crk,Grab,Grab,2019-06-12T19:15:00Z,NA,Turbid.FTUeq,0
10,Cragg-crk,Grab,Grab,2019-06-12T19:15:00Z,NA,NO3.Neq_ppm,0
10,Cragg-crk,Grab,Grab,2019-06-12T19:15:00Z,NA,TOCeq_ppm,2.545
10,Cragg-crk,Grab,Grab,2019-06-12T19:15:00Z,NA,DOCeq_ppm,2.226
10,Cragg-crk,Grab,Grab,2019-06-12T19:15:00Z,NA,SAC254_Abs.m,5.428
10,Cragg-crk,Grab,Grab,2019-06-12T19:15:00Z,NA,SAC436_Abs.m,0.121
10,Cragg-crk,Grab,Grab,2019-06-12T19:15:00Z,NA,NPOC_ppm,5.02
10,Cragg-crk,Grab,Grab,2019-06-12T19:15:00Z,NA,Turbid.FTUeq,0
10,Cragg-crk,Grab,Grab,2019-06-12T19:15:00Z,NA,NO3.Neq_ppm,0
10,Cragg-crk,Grab,Grab,2019-06-12T19:15:00Z,NA,TOCeq_ppm,2.546
10,Cragg-crk,Grab,Grab,2019-06-12T19:15:00Z,NA,DOCeq_ppm,2.291
10,Cragg-crk,Grab,Grab,2019-06-12T19:15:00Z,NA,SAC254_Abs.m,5.587
10,Cragg-crk,Grab,Grab,2019-06-12T19:15:00Z,NA,SAC436_Abs.m,0.154
10,Leech-head,Grab,Grab,2019-06-12T20:15:00Z,NA,NPOC_ppm,6.842
10,Leech-head,Grab,Grab,2019-06-12T20:15:00Z,NA,Turbid.FTUeq,0
10,Leech-head,Grab,Grab,2019-06-12T20:15:00Z,NA,NO3.Neq_ppm,0
10,Leech-head,Grab,Grab,2019-06-12T20:15:00Z,NA,TOCeq_ppm,3.814
10,Leech-head,Grab,Grab,2019-06-12T20:15:00Z,NA,DOCeq_ppm,3.234
10,Leech-head,Grab,Grab,2019-06-12T20:15:00Z,NA,SAC254_Abs.m,7.887
10,Leech-head,Grab,Grab,2019-06-12T20:15:00Z,NA,SAC436_Abs.m,0.183
10,Leech-head,Grab,Grab,2019-06-12T20:15:00Z,NA,NPOC_ppm,6.842
10,Leech-head,Grab,Grab,2019-06-12T20:15:00Z,NA,Turbid.FTUeq,0
10,Leech-head,Grab,Grab,2019-06-12T20:15:00Z,NA,NO3.Neq_ppm,0
10,Leech-head,Grab,Grab,2019-06-12T20:15:00Z,NA,TOCeq_ppm,3.85
10,Leech-head,Grab,Grab,2019-06-12T20:15:00Z,NA,DOCeq_ppm,3.352
10,Leech-head,Grab,Grab,2019-06-12T20:15:00Z,NA,SAC254_Abs.m,8.177
10,Leech-head,Grab,Grab,2019-06-12T20:15:00Z,NA,SAC436_Abs.m,0.213
10,Leech-head,Grab,Grab,2019-06-12T20:15:00Z,NA,NPOC_ppm,6.842
10,Leech-head,Grab,Grab,2019-06-12T20:15:00Z,NA,Turbid.FTUeq,0
10,Leech-head,Grab,Grab,2019-06-12T20:15:00Z,NA,NO3.Neq_ppm,0
10,Leech-head,Grab,Grab,2019-06-12T20:15:00Z,NA,TOCeq_ppm,3.891
10,Leech-head,Grab,Grab,2019-06-12T20:15:00Z,NA,DOCeq_ppm,3.253
10,Leech-head,Grab,Grab,2019-06-12T20:15:00Z,NA,SAC254_Abs.m,7.934
10,Leech-head,Grab,Grab,2019-06-12T20:15:00Z,NA,SAC436_Abs.m,0.164
10,Weeks-out,Grab,Grab,2019-06-12T21:45:00Z,NA,NPOC_ppm,12.81
10,Weeks-out,Grab,Grab,2019-06-12T21:45:00Z,NA,Turbid.FTUeq,0
10,Weeks-out,Grab,Grab,2019-06-12T21:45:00Z,NA,NO3.Neq_ppm,0.52
10,Weeks-out,Grab,Grab,2019-06-12T21:45:00Z,NA,TOCeq_ppm,14.088
