trip,NPOC_ppm,site,sample_type,sample,dt_sampled,fillStage_cm,analysis,Turbid.FTUeq,NO3.Neq_ppm,TOCeq_ppm,DOCeq_ppm,SAC254_Abs.m,SAC436_Abs.m,trip_end,three_seasons,two_seasons,SUVA
10,5.549,West-Leech,Grab,Grab,2019-06-12T17:30:00Z,NA,DOC,0,0,2.5116666666666667,2.146,5.234666666666667,0.12466666666666668,2019-06-12T08:00:00Z,summer [June-Oct],dry,1.060048395313296
10,6.369,Tunnel,Grab,Grab,2019-06-12T18:30:00Z,NA,DOC,0,0,2.586,2.205,5.378,0.13033333333333333,2019-06-12T08:00:00Z,summer [June-Oct],dry,1.1842692450725176
10,5.02,Cragg-crk,Grab,Grab,2019-06-12T19:15:00Z,NA,DOC,0,0,2.5549999999999997,2.257,5.504333333333333,0.137,2019-06-12T08:00:00Z,summer [June-Oct],dry,0.9120087204021073
10,6.842,Leech-head,Grab,Grab,2019-06-12T20:15:00Z,NA,DOC,0,0,3.8516666666666666,3.2796666666666665,7.999333333333333,0.18666666666666668,2019-06-12T08:00:00Z,summer [June-Oct],dry,0.8553212767730644
10,12.81,Weeks-out,Grab,Grab,2019-06-12T21:45:00Z,NA,DOC,0,0.562,14.369,11.367999999999999,27.7265,0.484,2019-06-12T08:00:00Z,summer [June-Oct],dry,0.46201287576866895
10,6.766,Chris-crk,Grab,Grab,2019-06-12T22:00:00Z,NA,DOC,0,0,3.094666666666667,2.6936666666666667,6.570333333333333,0.16133333333333333,2019-06-12T08:00:00Z,summer [June-Oct],dry,1.0297803257064584
10,10.26,Jarvis,Grab,Grab,2019-06-12T22:20:00Z,NA,DOC,0,0.11366666666666667,8.23,6.860333333333333,16.733,0.29066666666666663,2019-06-12T08:00:00Z,summer [June-Oct],dry,0.613159624693719
10,7.171,Lazar,Grab,Grab,2019-06-12T20:35:00Z,NA,DOC,0,0,2.965,2.562333333333333,6.249333333333333,0.158,2019-06-12T08:00:00Z,summer [June-Oct],dry,1.1474823981224664
10,12.68,Rithet,Grab,Grab,2019-06-12T23:00:00Z,NA,DOC,0,0,3.7616666666666667,3.113,7.593,0.18966666666666665,2019-06-12T08:00:00Z,summer [June-Oct],dry,1.6699591729224286
10,0.8923,Lab,QA-QC,RO,NA,NA,DOC,NA,NA,NA,NA,NA,NA,2019-06-12T08:00:00Z,summer [June-Oct],dry,NA
11,1.266,Lab,QA-QC,RO,NA,NA,DOC,NA,NA,NA,NA,NA,NA,2019-06-28T08:00:00Z,summer [June-Oct],dry,NA
11,1.082,Lab,QA-QC,RO,NA,NA,DOC,NA,NA,NA,NA,NA,NA,2019-06-28T08:00:00Z,summer [June-Oct],dry,NA
11,1.041,Lab,QA-QC,RO,NA,NA,DOC,NA,NA,NA,NA,NA,NA,2019-06-28T08:00:00Z,summer [June-Oct],dry,NA
11,6.959,Deception-res,Grab,Grab,2019-06-28T16:45:00Z,NA,DOC,0,0,4.69,3.779333333333333,9.218,0.19833333333333333,2019-06-28T08:00:00Z,summer [June-Oct],dry,0.7549359947927967
11,4.788,West-Leech,Grab,Grab,2019-06-28T17:30:00Z,NA,DOC,0,0,2.493333333333333,2.131666666666667,5.199,0.14133333333333334,2019-06-28T08:00:00Z,summer [June-Oct],dry,0.9209463358338142
