site,grab_sample_count,what
West-Leech,20,synoptic grab count
Tunnel,39,synoptic grab count
Cragg-crk,29,synoptic grab count
Leech-head,21,synoptic grab count
Weeks-out,24,synoptic grab count
Chris-crk,20,synoptic grab count
Jarvis,14,synoptic grab count
Lazar,11,synoptic grab count
Rithet,13,synoptic grab count
Deception-res,3,synoptic grab count
West-Jordan,2,synoptic grab count
Leech-downstreamconf,3,synoptic grab count
Judge-crk,7,synoptic grab count
Deception-crk,2,synoptic grab count
Boneyard,7,synoptic grab count
