site,location,year,month,T_mean,T_sd
Weeks,air,2019,Aug,13.614579335793358,3.6719527237335665
Weeks,air,2019,Sep,10.812463194444444,3.74599217121484
Weeks,air,2019,Oct,4.470370295698925,3.6631556562314045
Weeks,air,2019,Nov,2.3558777777777777,3.852005654891415
Weeks,air,2019,Dec,2.1202150537634408,1.8988593148256652
Weeks,air,2020,Jan,0.70275,3.0935882571279922
Weeks,air,2020,Feb,0.3623985042735043,2.0455500454934077
Weeks,water,2019,Aug,12.258663284132842,1.4849568846624106
Weeks,water,2019,Sep,11.068,1.4847486376574703
Weeks,water,2019,Oct,7.147055779569892,1.4667664948738068
Weeks,water,2019,Nov,4.577354861111111,1.4558779348794724
Weeks,water,2019,Dec,3.161630376344086,0.5280642720269803
Weeks,water,2020,Jan,2.455707661290323,1.2875249518237333
Weeks,water,2020,Feb,3.027107905982906,0.5361285524083562
ChrisCrk,air,2019,Aug,13.568770916334662,4.745350543610794
ChrisCrk,air,2019,Sep,11.005715972222223,4.217810201966678
ChrisCrk,air,2019,Oct,4.506249327956989,3.938816854272261
ChrisCrk,air,2019,Nov,2.3563819444444443,4.1589461488157715
ChrisCrk,air,2019,Dec,2.4688622311827957,2.0608876315062954
ChrisCrk,air,2020,Jan,1.0120087365591397,3.1971100718656875
ChrisCrk,air,2020,Feb,0.45309904153354635,2.3525013929035525
ChrisCrk,water,2019,Aug,12.655671314741037,0.7877458767908994
ChrisCrk,water,2019,Sep,11.01672013888889,1.6502334019467062
ChrisCrk,water,2019,Oct,6.306165322580645,1.514658941488823
ChrisCrk,water,2019,Nov,4.939530555555556,1.4945233880769753
ChrisCrk,water,2019,Dec,4.2188407258064515,0.770426591781127
ChrisCrk,water,2020,Jan,3.06378561827957,1.304329636253132
ChrisCrk,water,2020,Feb,2.6359456869009583,0.6701725108321637
LeechHead,air,2019,Aug,14.078102493074793,3.668536053522159
LeechHead,air,2019,Sep,10.905302777777777,3.8600892877283033
LeechHead,air,2019,Oct,4.3569711021505375,3.6912759918107585
LeechHead,air,2019,Nov,2.33520625,3.726244889921895
LeechHead,air,2019,Dec,2.178092069892473,1.8501417445810229
LeechHead,air,2020,Jan,0.5916095430107526,2.8319741249906065
LeechHead,air,2020,Feb,0.3330353319057816,2.065896733072405
LeechHead,water,2019,Aug,12.880901200369344,0.9705173165708114
LeechHead,water,2019,Sep,10.845503472222223,1.7274221893963249
LeechHead,water,2019,Oct,6.275403225806452,1.5652376156952779
LeechHead,water,2019,Nov,4.401463194444444,1.5283196930356013
LeechHead,water,2019,Dec,3.517886424731183,0.7000558051565654
LeechHead,water,2020,Jan,2.6068239247311826,1.3104377503045193
LeechHead,water,2020,Feb,3.0017119914346897,0.4709430819276753
CraggCrk,air,2019,Aug,14.339160243407708,6.208852046591621
CraggCrk,air,2019,Sep,11.65266643454039,5.615997666027282
CraggCrk,air,2019,Oct,5.624184811827957,5.346052818656337
CraggCrk,air,2019,Nov,3.460227777777778,4.714103947590971
CraggCrk,air,2019,Dec,2.79199126344086,2.2859784251783553
CraggCrk,air,2020,Jan,1.3251471774193548,3.5235302354246487
CraggCrk,air,2020,Feb,1.1139465558194774,3.2203240050493434
CraggCrk,water,2019,Aug,13.288478346456692,3.154441738873671
CraggCrk,water,2019,Sep,11.584715972222222,2.257836818409009
CraggCrk,water,2019,Oct,7.180149865591398,1.1895811042058069
CraggCrk,water,2019,Nov,5.019304166666667,1.1336684317368761
CraggCrk,water,2019,Dec,4.014518817204301,0.6311052886179398
CraggCrk,water,2020,Jan,2.838700940860215,1.3077536035141173
CraggCrk,water,2020,Feb,2.6963004750593824,0.47149047572957065
WestLeech,air,2019,Aug,14.699942028985507,3.26831011514173
WestLeech,air,2019,Sep,12.134944444444445,3.3145901337988746
WestLeech,air,2019,Oct,5.5523360215053765,3.306415551762095
WestLeech,air,2019,Nov,3.689845138888889,3.398969349824523
WestLeech,air,2019,Dec,3.657307123655914,1.8650511557273204
WestLeech,air,2020,Jan,1.6339180107526883,2.8231339373069066
WestLeech,air,2020,Feb,1.5478843995510663,1.9655194238985905
WestLeech,water,2019,Aug,12.82945652173913,0.7138229152103465
WestLeech,water,2019,Sep,11.852343055555556,1.4004398426832452
WestLeech,water,2019,Oct,6.97080376344086,1.650151545831198
WestLeech,water,2019,Nov,5.1727638888888885,1.6316125632157663
WestLeech,water,2019,Dec,4.738746639784946,0.9072716526507177
WestLeech,water,2020,Jan,3.5151727150537635,1.3588632504033396
WestLeech,water,2020,Feb,3.417030303030303,0.6501392868756077
Tunnel,air,2019,Aug,17.69291814159292,5.131519498508465
Tunnel,air,2019,Sep,13.684348611111112,4.256597593252225
Tunnel,air,2019,Oct,6.482018817204301,3.384826341898571
Tunnel,air,2019,Nov,4.25548125,3.440225499006183
Tunnel,air,2019,Dec,4.138303295225286,1.998726092980305
Tunnel,air,2020,Jan,2.3808239247311827,2.896922626630911
Tunnel,air,2020,Feb,2.4462860548271754,2.050835367180376
Tunnel,water,2019,Aug,16.48699557522124,2.969321071806623
Tunnel,water,2019,Sep,13.355353472222223,3.1632733001695312
Tunnel,water,2019,Oct,7.082561827956989,2.0877241944872345
Tunnel,water,2019,Nov,5.461788888888889,1.6812793996276698
Tunnel,water,2019,Dec,4.85884811827957,0.7626420785199413
Tunnel,water,2020,Jan,3.72553561827957,1.3991663062205446
Tunnel,water,2020,Feb,3.6823444576877233,0.5834385679671517
