Storm number,Major event no.,Start date,End date,Rain (mm)
2,1,2018-10-27 09:15,2018-11-02 12:45,124.435
3,2,2018-11-03 11:30,2018-11-04 10:15,54.805
15,3,2018-11-25 19:45,2018-11-29 09:00,156.055
20,4,2018-12-09 12:15,2018-12-14 10:30,205.08
21,5,2018-12-15 00:45,2018-12-21 05:00,181.635
22,6,2018-12-22 09:45,2018-12-24 20:15,54.515
26,7,2019-01-02 19:45,2019-01-07 00:30,227.595
31,8,2019-01-17 07:45,2019-01-20 08:00,68.73
101,9,2019-09-12 18:00,2019-09-15 20:45,58.4
115,10,2019-10-15 18:15,2019-10-22 03:30,136.22
123,11,2019-11-15 10:00,2019-11-17 17:45,67.595
132,12,2019-12-10 17:00,2019-12-13 19:00,70.45
136,13,2019-12-18 11:45,2019-12-22 13:00,112.065
140,14,2019-12-31 00:00,2020-01-01 23:30,57.135
141,15,2020-01-02 17:30,2020-01-08 09:45,180.025
147,16,2020-01-18 18:15,2020-01-28 16:30,238.315
149,17,2020-01-30 17:15,2020-02-01 14:15,208.765
151,18,2020-02-05 07:30,2020-02-08 16:45,75.925
