site,rain_season,count,DOC_mean,DOC_sd,RSD
Weeks,Dry season,7,11.059428571428572,2.1691078701579025,19.61320023135439
Weeks,Wet season,49,9.737448979591836,3.7583323987132493,38.596683860322386
ChrisCrk,Dry season,7,5.872142857142857,1.9585453299640043,33.353162169439315
ChrisCrk,Wet season,42,4.682261904761905,1.9817289329974495,42.32417949500032
LeechHead,Dry season,9,6.327555555555556,0.9538591498632163,15.074686290596592
LeechHead,Wet season,43,7.233906976744186,1.7614048886093263,24.34928862469412
CraggCrk,Dry season,8,4.327625,1.19736782002381,27.66801236298917
CraggCrk,Wet season,61,4.745918032786885,1.5114216960098854,31.846772016885268
WestLeech,Dry season,7,4.6772857142857145,1.3663554581788877,29.212572026670575
WestLeech,Wet season,60,5.689466666666667,2.3396069963083845,41.121727806502975
Tunnel,Dry season,14,4.154928571428571,2.160568175425006,52.000127999364075
Tunnel,Wet season,60,4.914033333333333,1.6001301214744121,32.562459652445966
