site,description,count,DOCmean,DOCsd,RSD,DOCmin,DOCmedian,DOCmax
Weeks,"headwater of Leech Rv., LWSA",49,9.93742857142857,3.416592527650905,34,3.782,9.693,19.07
ChrisCrk,"headwater of Leech Rv., LWSA",42,4.927333333333333,2.0841225757064064,42,1.845,4.652,9.157
LeechHead,"mainstem river, LWSA",44,7.171977272727273,1.7407032592262133,24,3.95,6.9195,11.64
Jarvis-crk,"headwater of Cragg Crk., LWSA",12,9.699916666666667,2.8769501357050546,30,5.919,9.659500000000001,16.73
Lazar-crk,"headwater of Cragg Crk., LWSA",9,6.264444444444445,1.7146146149434802,27,3.689,6.528,8.646
CraggCrk,"mainstem river, LWSA",62,4.704532258064516,1.530513443450172,33,1.788,4.446,8.219
WestLeech,"mainstem river, LWSA",57,5.798421052631579,2.360440598606301,41,1.997,5.549,10.95
Leech-Beach,below confluence of WestLeech with Leech Rv.,3,4.651666666666667,1.2208264959990562,26,3.267,5.115,5.573
Tunnel,"inlet of Leech Tunnel, LWSA outlet",64,4.750859375,1.8386329969221784,39,1.649,4.977,9.024
Rithet-crk,"key tributary to Sooke Reservoir, SWSA",13,5.388307692307692,3.8510357348081348,71,1.637,3.477,12.68
Judge-crk,"key tributary to Sooke Reservoir, SWSA",6,5.652333333333333,1.1393100836324879,20,4.421,5.252000000000001,7.569
Deception,"outlet of Leech Tunnel, SWSA",5,4.165,1.8070506357044893,43,2.164,4.094,6.959
all sites,summary,366,6.139934426229508,2.9198892897131308,48,1.637,5.7010000000000005,19.07
