Major event no.,Start Date,Rainfall (mm),Intensity (mm/24-hr),Samples collected,mean DOC (mg/L),max_DOC,mean_SAC254,mean E2E3
1,2018-10-27,124.435,20.24705084745763,19,9.094736842105263,12.93,29.126984375,4.341589472419136
2,2018-11-03,54.805,60.47448275862069,18,6.396055555555556,10.66,25.1466088235294,4.200205296317301
3,2018-11-25,156.055,43.93337243401759,34,6.231617647058823,10.49,27.9317166666667,4.176856816898582
4,2018-12-09,205.08,41.62300211416491,18,5.884888888888889,10.83,NaN,NaN
7,2019-01-02,227.595,54.21617866004962,22,4.682772727272727,7.729,NaN,NaN
8,2019-01-17,68.73,22.83072664359862,3,2.9723333333333333,3.184,NaN,NaN
9,2019-09-12,58.4,18.7505016722408,14,9.9655,18.74,16.7525333333333,4.824239555220437
10,2019-10-15,136.22,21.332985318107667,44,6.730954545454545,16.12,19.7444857142857,4.534816525636711
11,2019-11-15,67.595,29.09919282511211,28,6.439607142857143,10.62,22.8415384615385,4.5067422462069135
12,2019-12-10,70.45,22.84864864864865,25,5.3046,9.025,18.8981818181818,4.507043103452038
13,2019-12-18,112.065,27.656143958868896,1,4.464,4.464,16.552,4.614354403658966
15,2020-01-02,180.025,31.710825688073395,3,5.130333333333334,5.261,15.783,4.400693919710767
16,2020-01-18,238.315,24.00654774396642,8,4.106375,5.101,11.4175,4.42721791196473
17,2020-01-30,208.765,111.34133333333332,5,4.4552,5.209,12.8233333333333,4.147765291459709
18,2020-02-05,75.925,22.427076923076925,10,3.7871,6.952,9.6094,4.481044788062239
