site,description,count,SAC254mean,SAC254sd,rsdSAC,SAC254min,SAC254max,E2E3mean,E2E3sd,rsdE2E3,E2E3min,E2E3max
Weeks,"headwater of Leech Rv., LWSA",28,30.250964285714286,8.520127537110367,28,12.489,39.816,4.272695596952168,0.19326868939108327,5,3.7989208069525473,4.729716375135882
ChrisCrk,"headwater of Leech Rv., LWSA",33,13.488444444444443,6.744384514813796,50,5.678,30.717,4.417217873374375,0.23797175458516512,5,3.923032637179385,4.9777166638782004
LeechHead,"mainstem river, LWSA",31,21.333083333333335,7.853255564131067,37,7.0376666666666665,29.034,4.3809489650339994,0.1340654807083643,3,4.148602502480575,4.723974966187898
Jarvis-crk,"headwater of Cragg Crk., LWSA",10,26.137208333333334,11.663536891672814,45,13.263,41.66166666666667,4.447374813575596,0.2357813834600887,5,3.9419899069859494,4.861814596786209
Lazar-crk,"headwater of Cragg Crk., LWSA",7,10.631238095238096,4.974997933051072,47,5.185,16.984,4.5484368438625165,0.42651260742739583,9,3.771538692738813,4.95340310645957
CraggCrk,"mainstem river, LWSA",44,14.366467741935484,5.466224051258269,38,4.692,24.873,4.589794283403583,0.22348575340922625,5,3.9800812347684804,5.032264515698954
WestLeech,"mainstem river, LWSA",29,15.676960784313724,6.394263334864168,41,5.199,31.178,4.31340658742691,0.235974518490967,5,3.994648166501486,4.936055194037315
Leech-Beach,below confluence of WestLeech with Leech Rv.,3,12.283,2.6700352057604033,22,10.395,14.171,4.347436459640975,0.15684997061406133,4,4.252668803913144,4.528484912041528
Tunnel,"inlet of Leech Tunnel, LWSA outlet",34,16.885235632183907,5.630071049890927,33,5.182333333333333,27.492,4.40920351546403,0.20505683405873992,5,3.923720046447799,4.905948085205448
Rithet-crk,"key tributary to Sooke Reservoir, SWSA",11,9.40460606060606,2.4174914446277747,26,6.85,14.623,4.385576379527096,0.3253605142458935,7,3.953841619902501,4.854081209383786
Judge-crk,"key tributary to Sooke Reservoir, SWSA",5,15.2705,3.4182138610683803,22,12.298,20.587500000000002,4.585052273141041,0.045124470607699425,1,4.527236620497222,4.631190064455274
Deception,"outlet of Leech Tunnel, SWSA",5,10.7088,2.877647772052723,27,7.698,14.694,4.4902606960307185,0.19852526364525672,4,4.308914455662518,4.72371094914244
all sites,summary,240,16.874877300613498,8.386261892572,50,4.692,41.66166666666667,4.421411516355656,0.2410665597898986,5,3.771538692738813,5.032264515698954
