site,sample_type,count,DOCmean,DOCsd,RSD,DOCmin,DOCmedian,DOCmax
Weeks,Grab,16,9.2774375,3.2112161345041845,35,6.376,8.8845,18.74
Weeks,Rack,28,10.246392857142856,3.735169779861624,36,3.782,9.939,19.07
ChrisCrk,Grab,14,3.6169285714285713,1.9946941336488628,55,1.845,2.7824999999999998,9.037
ChrisCrk,Rack,23,5.5163913043478265,1.747569994413813,32,2.589,5.411,9.157
LeechHead,Grab,13,7.134615384615385,1.9089998925467728,27,4.872,6.188,11.64
LeechHead,Rack,25,7.44788,1.7277356886977824,23,3.95,7.262,10.57
CraggCrk,Grab,24,4.104875,1.32500616282406,32,2.581,3.638,7.473
CraggCrk,Rack,32,5.25759375,1.536404345707231,29,3.004,4.911,8.219
WestLeech,Grab,16,4.18325,1.867800685298086,45,2.333,3.473,9.078
WestLeech,Rack,36,6.671222222222222,2.225734499775762,33,2.891,6.4879999999999995,10.95
Tunnel,Grab,26,4.2805,1.4601800231478308,34,2.187,3.7075,8.854
Tunnel,Rack,26,5.5967692307692305,1.6878845294081537,30,2.693,5.6125,9.024
