site,sample_type,conc_count,mean_RSD,DOCmin,DOCmedian,DOCmax
Weeks,Grab,16,9.28 ± 35%,6.376,8.8845,18.74
Weeks,Rack,28,10.25 ± 36%,3.782,9.939,19.07
ChrisCrk,Grab,14,3.62 ± 55%,1.845,2.7824999999999998,9.037
ChrisCrk,Rack,23,5.52 ± 32%,2.589,5.411,9.157
LeechHead,Grab,13,7.13 ± 27%,4.872,6.188,11.64
LeechHead,Rack,25,7.45 ± 23%,3.95,7.262,10.57
CraggCrk,Grab,24,4.1 ± 32%,2.581,3.638,7.473
CraggCrk,Rack,32,5.26 ± 29%,3.004,4.911,8.219
WestLeech,Grab,16,4.18 ± 45%,2.333,3.473,9.078
WestLeech,Rack,36,6.67 ± 33%,2.891,6.4879999999999995,10.95
Tunnel,Grab,26,4.28 ± 34%,2.187,3.7075,8.854
Tunnel,Rack,26,5.6 ± 30%,2.693,5.6125,9.024
