site,sample_type,char_count,mean_RSD_SAC,SACmin,SACmedian,SACmax
Weeks,Grab,7,33.04 ± 9%,29.624,34.314,37.073
Weeks,Rack,5,28.73 ± 47%,12.489,37.283,39.816
ChrisCrk,Grab,8,10.34 ± 17%,7.395,10.256833333333333,13.518333333333333
ChrisCrk,Rack,7,19.95 ± 32%,10.254,19.466,30.717
LeechHead,Grab,7,24.92 ± 8%,22.242,25.016666666666666,28.232
LeechHead,Rack,6,24.04 ± 26%,11.692,25.5425,29.034
CraggCrk,Grab,16,13.39 ± 30%,8.733,12.465499999999999,24.003
CraggCrk,Rack,12,17.98 ± 25%,12.135,17.101,24.873
WestLeech,Grab,9,14.6 ± 23%,10.245,15.349,20.224666666666668
WestLeech,Rack,6,20.78 ± 29%,14.53,18.872999999999998,31.178
Tunnel,Grab,15,14.77 ± 15%,11.0755,14.418,19.016
Tunnel,Rack,12,21.47 ± 21%,14.289,21.336,27.492
