site,sample_type,char_count,SACmean,SACsd,RSD,SACmin,SACmedian,SACmax,E2E3mean,E2E3sd,E2E3min,E2E3median,E2E3max
Weeks,Grab,7,33.04185714285714,2.9852202279771274,4,29.624,34.314,37.073,4.388035886754394,0.18475127918857331,4.106041015806242,4.35095675829517,4.729716375135882
Weeks,Rack,5,28.732400000000002,13.500839207249305,3,12.489,37.283,39.816,4.362883272902486,0.14528231593659155,4.112068292429014,4.3954489431761745,4.479988804925832
ChrisCrk,Grab,8,10.344875,1.8101201655936792,5,7.395,10.256833333333333,13.518333333333333,4.62745154007725,0.2247799446517992,4.3583418479054155,4.62638081038419,4.9777166638782004
ChrisCrk,Rack,7,19.946714285714286,6.351339300081668,4,10.254,19.466,30.717,4.549948581923422,0.1677163046825462,4.201302996229909,4.577896346219851,4.731757017882866
LeechHead,Grab,7,24.923952380952382,2.0629432087528925,3,22.242,25.016666666666666,28.232,4.50650906720928,0.12966686215965065,4.341722645170921,4.4810675852492725,4.723974966187898
LeechHead,Rack,6,24.042,6.2254844309499315,2,11.692,25.5425,29.034,4.47638872416004,0.087240089264734,4.396444727620262,4.461727793268198,4.630149968623131
CraggCrk,Grab,16,13.39134375,4.068558314353091,3,8.733,12.465499999999999,24.003,4.73036942443218,0.16180131448413176,4.526518391787853,4.658940513250029,5.032264515698954
CraggCrk,Rack,12,17.9775,4.4695272578977425,3,12.135,17.101,24.873,4.68045382593792,0.12116379405023768,4.479166313649072,4.686781539263727,4.836504617529186
WestLeech,Grab,9,14.601740740740741,3.2961354803676186,6,10.245,15.349,20.224666666666668,4.501732029554987,0.2888530819088994,4.07444289467709,4.507385063449137,4.936055194037315
WestLeech,Rack,6,20.7765,6.033303100292576,4,14.53,18.872999999999998,31.178,4.340047820250561,0.1922668440299946,4.100957393711148,4.372874106062511,4.5709289915298505
Tunnel,Grab,15,14.767966666666666,2.229003080067944,4,11.0755,14.418,19.016,4.5415197439860595,0.1884839012424976,4.163257820927725,4.474319097719958,4.905948085205448
Tunnel,Rack,12,21.466,4.568265992892509,4,14.289,21.336,27.492,4.324809437209005,0.16614688243450151,3.923720046447799,4.33504548253517,4.568194873546444
