Parameter,site,p.value,sig.diff
Stream stage,Weeks,0.01887280009293187,**
Stream stage,ChrisCrk,0.0194898015294612,**
Stream stage,LeechHead,0.019767329122158582,**
Stream stage,CraggCrk,0.0173392762836033,**
Stream stage,WestLeech,0.017613007721251746,**
Stream stage,Tunnel,0.017703922342633214,**
DOC (mg/L),Weeks,0.03826840810707793,**
DOC (mg/L),ChrisCrk,1,"NA"
DOC (mg/L),LeechHead,0.03688647608362325,**
DOC (mg/L),CraggCrk,0.6062827863054029,"NA"
DOC (mg/L),WestLeech,1,"NA"
DOC (mg/L),Tunnel,0.39183415650689857,"NA"
SAC254 (/m),Weeks,0.006060606060606061,***
SAC254 (/m),ChrisCrk,0.23185703185703188,"NA"
SAC254 (/m),LeechHead,0.013986013986013986,**
SAC254 (/m),CraggCrk,0.06668012742854579,"NA"
SAC254 (/m),WestLeech,0.12920412920412921,"NA"
SAC254 (/m),Tunnel,0.8630355660103946,"NA"
E2E3,Weeks,0.004231166150670795,***
E2E3,ChrisCrk,0.0016878451661060355,***
E2E3,LeechHead,0.001364676513417932,***
E2E3,CraggCrk,0.011563584684045327,**
E2E3,WestLeech,0.0572640174470838,"NA"
E2E3,Tunnel,0.8106174404604138,"NA"
Rain (mm),NA,0.7320261437908497,"NA"
Intensity (mm/hr),NA,0.5490196078431373,"NA"
