site,event_ID,DOC_max,DOC_min,DOC_diff,SAC_max,SAC_min,SAC_diff,E2E3_max,E2E3_min,E2E3_diff
Weeks,10,16.12,9.693,49.79661410916981,37.073,34.426,7.404299360830217,4.729716375135882,4.106041015806242,14.117077500769632
Weeks,11,10.62,9.016,16.337339580362592,39.816,34.314,14.844192634560912,4.442006785613037,4.384903538368371,1.2938445084125332
ChrisCrk,10,9.055,2.743,107.00118664180368,30.717,9.543,105.18628912071534,4.731757017882866,4.420127054552789,6.810181616453556
ChrisCrk,11,6.746,2.822,82.02341137123746,23.493,9.439,85.35163366937931,4.840597648306958,4.577896346219851,5.578414176189225
LeechHead,10,10.57,6.188,52.29741019214704,28.232,23.972,16.32058846065435,4.607365716383212,4.469949864346174,3.027675986692893
LeechHead,11,8.115,6.761,18.203818230707178,29.034,25.197,14.150578082646456,4.630149968623131,4.396444727620262,5.178148545877019
CraggCrk,10,7.396,2.842,88.9626880250049,24.873,9.96,85.6256997674619,4.89980449657869,4.526518391787853,7.920078894210726
CraggCrk,11,6.778,3.528,63.07005627789637,23.835,12.135,65.05421184320268,4.948463342572569,4.764549395691014,3.7869598617335622
WestLeech,10,9.742,4.228,78.94058697208305,19.628,15.349,24.467507219029645,4.5709289915298505,4.234461504134767,7.642307006389889
WestLeech,11,9.479,3.728,87.0901794502915,31.178,13.879,76.78718068224693,4.653123485302085,4.100957393711148,12.615055748792143
Tunnel,10,8.12,3.019,91.58811383427596,27.492,11.0755,85.13126336941724,4.864933135215453,4.217294676229922,14.261665142761132
Tunnel,11,9.024,3.752,82.52974326862868,27.232,14.542,60.755493847847944,4.670225,4.233394186209802,9.812432554769982
