site,count,DOCmean,DOCsd,DOCmin,DOCmedian,DOCmax
Weeks,30,9.558689655172413,3.2025674979331398,3.334,9.693,18.74
ChrisCrk,24,4.2055,2.1405293534645766,1.845,3.4175,9.037
LeechHead,25,6.72844,1.5916035435999758,3.994,6.487,11.64
CraggCrk,38,4.120243243243244,1.2257029141001639,1.788,3.787,7.473
WestLeech,26,4.320730769230769,1.6824106409005455,1.997,4.255,9.078
Tunnel,44,4.2715,1.6725424804282878,1.649,3.8555,8.854
LeechBeach,5,4.82,1.0521197650457863,3.267,5.220000000000001,5.573
Boneyard,9,3.160875,1.7953924710213085,1.826,1.884,5.362
DeceptionGulch,2,3.1290000000000004,1.3647160876900368,2.164,3.1290000000000004,4.094
JudgeCrk,9,8.189111111111112,4.684093387317455,4.421,6.388,17.25
Rithet,13,6.670230769230769,4.28048387361846,2.283,5.83,12.68
Lazar,11,6.292090909090909,1.5636765940913395,3.689,6.528,8.646
Jarvis,16,9.8222,2.574920059785491,5.919,9.807,16.73
WestJordan,3,5.031499999999999,2.0117187924757274,3.609,5.031499999999999,6.454
DeceptionReservoir,4,4.42275,1.8138933035508638,3.102,3.8150000000000004,6.959
