site,count,DOCmean,DOCsd,DOCmin,DOCmedian,DOCmax
weeks-crk,26,9.926692307692308,2.98996597665232,6.376,9.719,18.74
ChrisCrk,22,4.309954545454546,2.182910387473627,1.845,3.4175,9.037
LeechHead,22,6.804454545454545,1.6105917199314321,3.994,6.4905,11.64
Jarvis-crk,13,9.754538461538461,2.7615016330306177,5.919,9.807,16.73
Lazar-crk,10,6.2128,1.6247827068394238,3.689,6.246499999999999,8.646
CraggCrk,35,4.115514285714286,1.2433317755939806,1.788,3.787,7.473
WestLeech,24,4.29275,1.6893760425208704,1.997,4.255,9.078
Leech-Beach,3,4.651666666666667,1.2208264959990562,3.267,5.115,5.573
Tunnel,42,4.262214285714285,1.698829705295919,1.649,3.8555,8.854
Rithet-crk,11,6.6196363636363635,4.007473874468236,2.39,5.83,12.68
Judge-crk,6,7.330333333333334,3.961555889630571,4.421,5.902,15.1
Deception-res,3,4.855666666666666,1.9521302039908437,3.102,4.506,6.959
Boneyard,3,4.197333333333333,2.0008299111452064,1.887,5.343,5.362
