site,description,count,DOCmean,DOCsd,RSD,DOCmin,DOCmedian,DOCmax
Weeks,"headwater of Leech Rv., LWSA",21,9.52547619047619,2.978103819866722,31,6.376,9.016,18.74
ChrisCrk,"headwater of Leech Rv., LWSA",19,4.214263157894737,2.2761634105101134,54,1.845,3.334,9.037
LeechHead,"mainstem river, LWSA",19,6.808947368421053,1.7359480430551875,25,3.994,6.188,11.64
Jarvis-crk,"headwater of Cragg Crk., LWSA",12,9.699916666666667,2.8769501357050546,30,5.919,9.659500000000001,16.73
Lazar-crk,"headwater of Cragg Crk., LWSA",9,6.264444444444445,1.7146146149434802,27,3.689,6.528,8.646
CraggCrk,"mainstem river, LWSA",30,4.1146,1.3062898395178562,32,1.788,3.7365,7.473
WestLeech,"mainstem river, LWSA",21,4.302190476190476,1.791518981731637,42,1.997,4.228,9.078
Leech-Beach,below confluence of WestLeech with Leech Rv.,3,4.651666666666667,1.2208264959990562,26,3.267,5.115,5.573
Tunnel,"inlet of Leech Tunnel, LWSA outlet",38,4.172078947368421,1.727503970059645,41,1.649,3.7075,8.854
Rithet-crk,"key tributary to Sooke Reservoir, SWSA",13,5.388307692307692,3.8510357348081348,71,1.637,3.477,12.68
Judge-crk,"key tributary to Sooke Reservoir, SWSA",6,5.652333333333333,1.1393100836324879,20,4.421,5.252000000000001,7.569
Deception,"outlet of Leech Tunnel, SWSA",5,4.165,1.8070506357044893,43,2.164,4.094,6.959
all sites,summary,196,5.578163265306123,2.908976717410869,52,1.637,5.077500000000001,18.74
