site,sample_type,count,DOCmean,DOCsd,DOCmin,DOCmedian,DOCmax
Weeks,Grab,24,9.696833333333334,2.9979442038295776,6.376,9.3545,18.74
Weeks,Rack,32,10.05709375,4.049854886762073,3.782,9.501,19.07
ChrisCrk,Grab,22,4.309954545454546,2.182910387473627,1.845,3.4175,9.037
ChrisCrk,Rack,27,5.294111111111111,1.7619821516020253,1.937,4.822,9.157
LeechHead,Grab,22,6.804454545454545,1.6105917199314321,3.994,6.4905,11.64
LeechHead,Rack,30,7.276933333333333,1.7259870925583891,3.95,7.051,10.57
Jarvis-crk,Grab,14,9.837785714285715,2.671386478924422,5.919,10.0335,16.73
Lazar-crk,Grab,11,6.292090909090909,1.5636765940913395,3.689,6.528,8.646
CraggCrk,Grab,34,4.153235294117647,1.241534877500391,1.788,3.9034999999999997,7.473
CraggCrk,Rack,35,5.226057142857143,1.510948960535907,3.004,5.07,8.219
WestLeech,Grab,24,4.29275,1.6893760425208704,1.997,4.255,9.078
WestLeech,Rack,43,6.304255813953488,2.249926359567641,2.663,6.224,10.95
Leech-Beach,Grab,3,4.651666666666667,1.2208264959990562,3.267,5.115,5.573
Tunnel,Grab,40,4.23655,1.7106854669011093,1.649,3.8555,8.854
Tunnel,Rack,34,5.3985,1.550619411914497,2.693,5.362,9.024
Rithet-crk,Grab,15,6.1952,4.171051138502141,1.637,3.852,12.68
Judge-crk,Grab,8,8.283,4.998444872443542,4.421,5.902,17.25
Deception-res,Grab,3,4.855666666666666,1.9521302039908437,3.102,4.506,6.959
Boneyard,Grab,7,2.858,1.704258196401003,1.826,1.881,5.362
summary,Grab,227,5.751546255506608,3.109266996867061,1.637,5.177,18.74
summary,Rack,201,6.570248756218906,2.833818121865083,1.937,6.001,19.07
total,all_G&R,428,6.136030373831776,3.007572014982314,1.637,5.629,19.07
