site,count,DOCmean,DOCsd,DOCmin,DOCmedian,DOCmax
weeks-crk,21,9.837857142857143,2.9534589600282968,6.376,9.693,18.74
ChrisCrk,21,4.214428571428572,2.189191690360362,1.845,3.334,9.037
LeechHead,20,6.79215,1.6913168110271826,3.994,6.3305,11.64
Jarvis-crk,13,9.754538461538461,2.7615016330306177,5.919,9.807,16.73
Lazar-crk,10,6.2128,1.6247827068394238,3.689,6.246499999999999,8.646
CraggCrk,31,4.200677419354839,1.2460914997729708,1.788,4.02,7.473
WestLeech,23,4.26004347826087,1.71955754029557,1.997,4.228,9.078
Leech-Beach,3,4.651666666666667,1.2208264959990562,3.267,5.115,5.573
Tunnel,27,4.722925925925926,1.6402218406696352,1.737,4.887,8.854
Rithet-crk,14,5.747,3.9358496883431373,1.637,3.6645,12.68
Judge-crk,7,7.002,3.719259379679418,4.421,5.416,15.1
Deception-res,3,4.855666666666666,1.9521302039908437,3.102,4.506,6.959
Boneyard,3,4.197333333333333,2.0008299111452064,1.887,5.343,5.362
total summary,196,5.847882653061225,2.981631773427585,1.637,5.3185,18.74
