site,count,DOCmean,DOCsd,RSD,DOCmin,DOCmedian,DOCmax
Weeks,24,9.696833333333334,2.9979442038295776,31,6.376,9.3545,18.74
ChrisCrk,22,4.309954545454546,2.182910387473627,51,1.845,3.4175,9.037
LeechHead,21,6.7884761904761906,1.648577678456421,24,3.994,6.473,11.64
Jarvis-crk,14,9.837785714285715,2.671386478924422,27,5.919,10.0335,16.73
Lazar-crk,11,6.292090909090909,1.5636765940913395,25,3.689,6.528,8.646
CraggCrk,34,4.153235294117647,1.241534877500391,30,1.788,3.9034999999999997,7.473
WestLeech,24,4.29275,1.6893760425208704,39,1.997,4.255,9.078
Leech-Beach,3,4.651666666666667,1.2208264959990562,26,3.267,5.115,5.573
Tunnel,40,4.23655,1.7106854669011093,40,1.649,3.8555,8.854
Rithet-crk,15,6.1952,4.171051138502141,67,1.637,3.852,12.68
Judge-crk,8,8.283,4.998444872443542,60,4.421,5.902,17.25
Deception-res,3,4.855666666666666,1.9521302039908437,40,3.102,4.506,6.959
Boneyard,7,2.858,1.704258196401003,60,1.826,1.881,5.362
total summary,226,5.745402654867257,3.1147876620037356,54,1.637,5.177,18.74
