site,sample_type,count,DOCmean,DOCsd,RSD,DOCmin,DOCmedian,DOCmax
Weeks,Grab,21,9.52547619047619,2.978103819866722,31,6.376,9.016,18.74
Weeks,Rack,28,10.246392857142856,3.735169779861624,36,3.782,9.939,19.07
ChrisCrk,Grab,19,4.214263157894737,2.2761634105101134,54,1.845,3.334,9.037
ChrisCrk,Rack,23,5.5163913043478265,1.747569994413813,32,2.589,5.411,9.157
LeechHead,Grab,19,6.808947368421053,1.7359480430551875,25,3.994,6.188,11.64
LeechHead,Rack,25,7.44788,1.7277356886977824,23,3.95,7.262,10.57
CraggCrk,Grab,30,4.1146,1.3062898395178562,32,1.788,3.7365,7.473
CraggCrk,Rack,32,5.25759375,1.536404345707231,29,3.004,4.911,8.219
WestLeech,Grab,21,4.302190476190476,1.791518981731637,42,1.997,4.228,9.078
WestLeech,Rack,36,6.671222222222222,2.225734499775762,33,2.891,6.4879999999999995,10.95
Tunnel,Grab,38,4.172078947368421,1.727503970059645,41,1.649,3.7075,8.854
Tunnel,Rack,26,5.5967692307692305,1.6878845294081537,30,2.693,5.6125,9.024
All sites,Grab,148,5.282425675675675,2.7366799317530877,52,1.649,4.7675,18.74
All sites,Rack,170,6.787623529411765,2.8038555596612125,41,2.589,6.390499999999999,19.07
ALL SITES,SUMMARY,318,6.087091194968553,2.8687429403666163,47,1.649,5.650499999999999,19.07
