site,sample_type,DOC_mean,DOC_sd,RSD,DOC_min,DOC_max
Weeks,Grab,9.837857142857143,2.9534589600282968,30.02136458316718,6.376,18.74
Weeks,Rack,10.05709375,4.049854886762073,40.268640100546676,3.782,19.07
ChrisCrk,Grab,4.214428571428572,2.189191690360362,51.94516061327593,1.845,9.037
ChrisCrk,Rack,5.294111111111111,1.7619821516020253,33.28192617461378,1.937,9.157
LeechHead,Grab,6.79215,1.6913168110271826,24.90105211202907,3.994,11.64
LeechHead,Rack,7.276933333333333,1.7259870925583891,23.718605262634295,3.95,10.57
CraggCrk,Grab,4.200677419354839,1.2460914997729708,29.664060706769334,1.788,7.473
CraggCrk,Rack,5.226057142857143,1.510948960535907,28.91183389758832,3.004,8.219
WestLeech,Grab,4.26004347826087,1.71955754029557,40.364788506749385,1.997,9.078
WestLeech,Rack,6.304255813953488,2.249926359567641,35.68900796487001,2.663,10.95
Tunnel,Grab,4.722925925925926,1.6402218406696352,34.72893427495522,1.737,8.854
Tunnel,Rack,5.3985,1.550619411914497,28.723152948309654,2.693,9.024
