site,forcats::fct_explicit_na(event_ID),yint_DOC,slope,r_sq,n,range_DOC,DOC_min,DOC_max,first_event,last_event,first_rack,last_rack
Weeks,1,9.720000000000017,0.05799999999999963,0.23750353007624925,3,1.1899999999999995,L3,L4,1,1,L3,L5
Weeks,3,10.801798322224775,-0.03069374856354863,0.13133348749292417,8,4.407,L5,L1,3,3,L1,L1
Weeks,4,13.96238095238094,-0.04819047619047608,1,2,1.0120000000000005,L3,L2,4,4,L2,L3
Weeks,7,3.949999999999999,0.036096330275229356,0.7485703444911264,3,1.8319999999999999,L2,L4,7,7,L4,L1
Weeks,9,17.86,NA,0,1,0,L1,L1,9,9,L1,L1
Weeks,10,11.859626485568771,0.05837860780984705,0.9504040668252419,3,1.6500000000000004,L1,L3,10,10,L1,L3
Weeks,11,9.050710059171607,0.018994082840236536,0.8329372393054582,3,0.5599999999999987,L1,L3,11,11,L1,L3
Weeks,12,12.115923076923083,-0.04176923076923087,1,2,0.543000000000001,L3,L2,12,12,L2,L3
Weeks,15,3.3616399999999986,0.012160000000000016,0.18551158632920048,4,1.1630000000000003,L3,L4,15,15,L4,L1
Weeks,(Missing),-8.465128205128226,0.7976923076923083,0.8518655924256708,3,6.16,L1,L2,NA,NA,L1,L1
ChrisCrk,1,8.895916666666668,-0.022250000000000037,0.03977618609798267,3,2.1159999999999997,L4,L3,1,1,L2,L4
ChrisCrk,2,6.073499999999999,NA,0,2,3.0630000000000006,L1,L1,2,2,L1,L1
ChrisCrk,3,6.651993330157224,-0.029058122915674237,0.1917628739528751,6,2.707,L7,L4,3,3,L2,L5
ChrisCrk,4,2.589,NA,0,1,0,L1,L1,4,4,L1,L1
ChrisCrk,7,3.1726216216216216,0.004378378378378351,1,2,0.16199999999999992,L1,L2,7,7,L2,L1
ChrisCrk,10,-2.5502000000000007,0.3054,1,2,3.0539999999999994,L1,L2,10,10,L1,L2
ChrisCrk,11,2.174444444444442,0.12355555555555561,1,2,1.112,L1,L2,11,11,L1,L2
ChrisCrk,12,5.356999999999996,-0.021999999999999895,1,2,0.21999999999999975,L2,L1,12,12,L1,L2
ChrisCrk,15,8.698782894736848,-0.13541447368421067,0.6634956574334099,3,2.931,L3,L1,15,15,L3,L1
ChrisCrk,16,8.087000000000003,-0.06600000000000007,1,2,0.7919999999999998,L5,L4,16,16,L4,L5
ChrisCrk,17,4.822,NA,0,1,0,L6,L6,17,17,L6,L6
ChrisCrk,(Missing),5.411,NA,0,1,0,L1,L1,NA,NA,L1,L1
LeechHead,1,4.642631578947351,0.04132631578947382,0.9027410196646581,3,0.9940000000000015,L3,L5,1,1,L3,L5
LeechHead,3,5.675808623744832,0.008120496160661551,0.07019777839195807,7,1.3719999999999999,L4,L2,3,3,L1,L6
LeechHead,4,4.3984604715672795,0.01634119278779465,0.6176517516771614,3,0.5940000000000003,L1,L2,4,4,L1,L2
LeechHead,7,-7.085081081081073,0.08235135135135128,1,2,3.0469999999999997,L1,L4,7,7,L4,L1
LeechHead,9,9.223,NA,0,1,0,L1,L1,9,9,L1,L1
LeechHead,10,-0.0234665856622184,0.08194046172539493,0.976072530143004,3,2.6670000000000007,L1,L3,10,10,L1,L3
LeechHead,11,-0.2017500000000222,0.07108333333333353,1,2,0.8530000000000006,L1,L2,11,11,L1,L2
LeechHead,12,-0.671529411764707,0.0601764705882353,1,2,1.0229999999999997,L1,L2,12,12,L1,L2
LeechHead,15,7.82832518796994,-0.016396616541353482,0.8956527674710909,3,0.40500000000000025,L3,L2,15,15,L3,L1
LeechHead,16,4.661,NA,0,1,0,L4,L4,16,16,L4,L4
LeechHead,17,4.288,NA,0,1,0,L6,L6,17,17,L6,L6
LeechHead,(Missing),-0.9650000000000096,0.10300000000000009,1,2,1.0300000000000011,L1,L2,NA,NA,L1,L2
CraggCrk,1,4.606269765645122,0.05743458665979907,0.6652576565667568,5,3.148999999999999,L1,L4,1,1,L1,L5
CraggCrk,2,5.267,NA,0,1,0,L1,L1,2,2,L1,L1
CraggCrk,3,4.949340615835779,-4.561583577712759e-4,4.844930235363704e-5,6,3.741,L3,L1,3,3,L1,L4
CraggCrk,4,2.6609085673146202,0.024193304535637093,0.22537121684288827,3,2.1930000000000005,L1,L2,4,4,L1,L3
CraggCrk,7,3.7627723591446722,0.01068985608576589,0.07442734053038876,4,3.4429999999999996,L1,L4,7,7,L4,L1
CraggCrk,8,3.04,NA,0,1,0,L2,L2,8,8,L2,L2
CraggCrk,10,2.749412790697678,0.07559219269102985,0.8965113766394645,3,3.083,L1,L3,10,10,L1,L3
