site,trip,event_ID,same_MAXsample,same_MAXsample_DOC,same_MAXsample_stage
Weeks,17,10,FALSE,FALSE,FALSE
ChrisCrk,17,10,TRUE,TRUE,TRUE
LeechHead,17,10,TRUE,TRUE,TRUE
CraggCrk,17,10,TRUE,TRUE,TRUE
WestLeech,17,10,FALSE,FALSE,FALSE
Tunnel,17,10,FALSE,FALSE,FALSE
Weeks,18,10,TRUE,TRUE,TRUE
ChrisCrk,18,10,TRUE,TRUE,TRUE
LeechHead,18,10,TRUE,TRUE,TRUE
CraggCrk,18,10,TRUE,TRUE,TRUE
WestLeech,18,10,TRUE,TRUE,TRUE
Tunnel,18,10,FALSE,FALSE,FALSE
Weeks,19,11,TRUE,TRUE,TRUE
ChrisCrk,19,11,TRUE,TRUE,TRUE
LeechHead,19,11,TRUE,TRUE,TRUE
CraggCrk,19,11,TRUE,TRUE,TRUE
WestLeech,19,11,TRUE,TRUE,TRUE
Tunnel,19,11,FALSE,FALSE,FALSE
Weeks,20,12,FALSE,FALSE,FALSE
ChrisCrk,20,12,FALSE,FALSE,FALSE
LeechHead,20,12,TRUE,TRUE,TRUE
CraggCrk,20,12,TRUE,TRUE,TRUE
WestLeech,20,11,TRUE,TRUE,TRUE
Tunnel,20,12,FALSE,FALSE,FALSE
