site,sample_season,count,DOCmean,DOCsd,RSD,DOCmin,DOCmedian,DOCmax
Weeks,dry,7,11.059428571428572,2.1691078701579025,20,7.54,12.01,13.1
Weeks,wet,49,9.737448979591836,3.7583323987132493,39,3.782,9.166,19.07
Weeks,All,56,9.902696428571428,3.6104328721568346,36,3.782,9.4385,19.07
ChrisCrk,dry,7,5.872142857142857,1.9585453299640043,33,1.914,6.316,8.265
ChrisCrk,wet,42,4.682261904761905,1.9817289329974497,42,1.845,4.515499999999999,9.157
ChrisCrk,All,49,4.852244897959184,2.0027456729305837,41,1.845,4.739,9.157
LeechHead,dry,8,6.226,0.9663040042199081,16,3.994,6.4905,7.091
LeechHead,wet,43,7.233906976744186,1.7614048886093263,24,3.95,6.939,11.64
LeechHead,All,51,7.075803921568627,1.695260287030966,24,3.95,6.842,11.64
CraggCrk,dry,8,4.327625,1.19736782002381,28,1.788,4.483,5.735
CraggCrk,wet,63,4.752698412698413,1.4873987646214581,31,2.581,4.456,8.219
CraggCrk,All,71,4.704802816901409,1.4564363025620184,31,1.788,4.456,8.219
WestLeech,dry,7,4.6772857142857145,1.3663554581788877,29,1.997,4.788,6.396
WestLeech,wet,60,5.689466666666667,2.3396069963083845,41,2.333,5.4625,10.95
WestLeech,All,67,5.5837164179104475,2.271615896668954,41,1.997,5.358,10.95
Tunnel,dry,14,4.154928571428571,2.160568175425006,52,1.649,5.2615,6.469
Tunnel,wet,60,4.914033333333333,1.6001301214744121,33,2.187,4.912,9.024
Tunnel,All,74,4.770418918918919,1.7292423870186124,36,1.649,4.936,9.024
ALL SITES,SUMMARY,368,6.0172228260869565,2.849307353915988,47,1.649,5.558999999999999,19.07
