site,trip,sample_type,sample,sampleStage_cm,analysis,NPOC_ppm,DateTime,corr_stage_cm,NO3.Neq_ppm,TOCeq_ppm,DOCeq_ppm,SAC254_Abs.m,pseudo254,SlopeRatio,E2E3,E4E6,two_seasons,SUVA,pseudo_SUVA,DateTime_sampled,Date,event_ID,rain_season,collection,Date_sampled,Date_collected,HoldTime_days
Weeks,2,Grab,Grab,74.53,DOC,10.66,2018-11-06T21:55:00Z,74.53,0.538,16.339,13.075,NaN,21.104300000000002,1.000315062382503,4.357131480449152,-0.4513437231562155,wet,1.979765478424015,1.979765478424015,2018-11-06T21:30:00Z,2018-11-06,2,wet,2018-11-07T08:00:00Z,2018-11-06,2018-11-07,1
LeechHead,2,Grab,Grab,121.623,DOC,8.702,2018-11-06T20:20:00Z,121.623,0.496,13.972,11.229,NaN,36.773849999999996,0.9998424807317422,4.343091837657055,-5.243691669547182,wet,4.225907837278786,4.225907837278786,2018-11-06T19:35:00Z,2018-11-06,2,wet,2018-11-07T08:00:00Z,2018-11-06,2018-11-07,1
ChrisCrk,2,Grab,Grab,35.404,DOC,3.827,2018-11-06T17:05:00Z,35.404,0.027,6.198,5.137,NaN,25.857999999999997,0.9993637704574427,4.38311994663977,-1.4578899909828675,wet,6.756728507969688,6.756728507969688,2018-11-06T16:35:00Z,2018-11-06,2,wet,2018-11-07T08:00:00Z,2018-11-06,2018-11-07,1
CraggCrk,2,Grab,Grab,42.51,DOC,5.232,2018-11-06T16:30:00Z,42.51,0.149,8.044,6.621,NaN,29.06075,0.9997551458759877,4.466652891952124,-1.1415955254636443,wet,5.554424694189602,5.554424694189602,2018-11-06T16:30:00Z,2018-11-06,2,wet,2018-11-07T08:00:00Z,2018-11-06,2018-11-07,1
WestLeech,2,Grab,Grab,28.340000000000003,DOC,4.635,2018-11-07T17:00:00Z,28.340000000000003,0.114,8.005,6.598,NaN,32.35165,0.9995681401604924,4.011742288912707,12.74351585014409,wet,6.9798597626752965,6.9798597626752965,2018-11-07T16:35:00Z,2018-11-07,2,wet,2018-11-07T08:00:00Z,2018-11-07,2018-11-07,0
ChrisCrk,3,Grab,Grab,25.863999999999997,DOC,4.338,2018-11-23T16:55:00Z,25.863999999999997,0.205,7.425,6.044,NaN,17.84105,0.9997776428493218,4.1877079796264844,-0.7034158684258087,wet,4.112736284001844,4.112736284001844,2018-11-23T16:30:00Z,2018-11-23,2,wet,2018-11-23T08:00:00Z,2018-11-23,2018-11-23,0
Weeks,3,Grab,Grab,59.459999999999994,DOC,10.49,2018-11-23T17:15:00Z,59.459999999999994,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA,2018-11-23T16:35:00Z,2018-11-23,2,wet,2018-11-23T08:00:00Z,2018-11-23,2018-11-23,0
LeechHead,3,Grab,Grab,116.993,DOC,7.675,2018-11-23T18:00:00Z,116.993,0.577,13.674,11.014,NaN,32.7488,0.9998803752993213,4.336489041739108,-2.215139442231076,wet,4.266944625407167,4.266944625407167,2018-11-23T17:30:00Z,2018-11-23,2,wet,2018-11-23T08:00:00Z,2018-11-23,2018-11-23,0
CraggCrk,3,Grab,Grab,43.7,DOC,5.177,2018-11-23T19:15:00Z,43.7,0.261,8.648,7.071,NaN,20.72645,1.0000674071651272,4.408804258804258,-0.5683475091130012,wet,4.003563840061812,4.003563840061812,2018-11-23T18:35:00Z,2018-11-23,2,wet,2018-11-23T08:00:00Z,2018-11-23,2018-11-23,0
WestLeech,3,Grab,Grab,45.25,DOC,6.124,2018-11-23T20:15:00Z,45.25,0.388,11.026,8.913,NaN,26.44025,0.9999021752453482,4.250784814041599,-1.295392491467577,wet,4.317480404964076,4.317480404964076,2018-11-23T19:30:00Z,2018-11-23,2,wet,2018-11-23T08:00:00Z,2018-11-23,2018-11-23,0
