trip,event_ID,rain_season,site,sample_type,sample,NPOC_ppm,SAC254_Abs.m,DOCeq_ppm,Date_sampled,Date_collected,sample_HT_days,TidbiT_location,Temp_daily,Temp_daily_sd
23,15,wet,Weeks,Rack,L1,4.222,NA,DOCeq_ppm,2019-12-18,2020-02-20,64,air,0.1629808429118774,2.6010694642861867
19,11,wet,Weeks,Rack,L1,10.06,38.516,DOCeq_ppm,2019-11-16,2019-11-22,6,air,2.9538988095238095,3.681707812901598
15,9,wet,Weeks,Rack,L1,12.91,NA,DOCeq_ppm,2019-09-12,2019-09-21,9,air,10.90480625,2.111746713407943
17,10,wet,Weeks,Rack,L1,14.47,NA,DOCeq_ppm,2019-10-17,2019-10-24,7,air,6.5333463541666665,1.8433030794337264
16,9,wet,Weeks,Rack,L1,17.86,NA,DOCeq_ppm,2019-09-26,2019-10-12,16,air,5.153102941176471,3.723131285098234
23,15,wet,Weeks,Rack,L2,4.255,13.119,DOCeq_ppm,2019-12-19,2020-02-20,63,air,0.1629808429118774,2.6010694642861867
20,12,wet,Weeks,Rack,L2,9.025,NA,DOCeq_ppm,2019-12-12,2019-12-17,5,air,1.3673229166666667,1.4817203780189971
19,11,wet,Weeks,Rack,L2,10.1,37.283,DOCeq_ppm,2019-11-17,2019-11-22,5,air,2.4464791666666668,3.6905340604216628
17,10,wet,Weeks,Rack,L2,15.03,NA,DOCeq_ppm,2019-10-17,2019-10-24,7,air,6.5333463541666665,1.8433030794337264
23,17,wet,Weeks,Rack,L3,3.782,12.489,DOCeq_ppm,2020-01-31,2020-02-20,20,air,0.6076941056910569,2.328738175986048
20,12,wet,Weeks,Rack,L3,8.482,NA,DOCeq_ppm,2019-12-13,2019-12-17,4,air,1.0469625,1.2532005697588606
19,11,wet,Weeks,Rack,L3,10.62,39.816,DOCeq_ppm,2019-11-18,2019-11-22,4,air,1.4355208333333334,2.9452798205470185
17,10,wet,Weeks,Rack,L3,16.12,NA,DOCeq_ppm,2019-10-18,2019-10-24,6,air,6.464761904761905,1.936423122746063
23,15,wet,Weeks,Rack,L1,4.222,NA,DOCeq_ppm,2019-12-18,2020-02-20,64,water,2.4779339080459772,1.0364333146683105
19,11,wet,Weeks,Rack,L1,10.06,38.516,DOCeq_ppm,2019-11-16,2019-11-22,6,water,5.527035714285715,1.1980183458234843
15,9,wet,Weeks,Rack,L1,12.91,NA,DOCeq_ppm,2019-09-12,2019-09-21,9,water,11.235883333333334,0.7339653354955643
17,10,wet,Weeks,Rack,L1,14.47,NA,DOCeq_ppm,2019-10-17,2019-10-24,7,water,8.182294270833333,0.31884071891807986
16,9,wet,Weeks,Rack,L1,17.86,NA,DOCeq_ppm,2019-09-26,2019-10-12,16,water,7.816444852941176,1.5871234617523113
23,15,wet,Weeks,Rack,L2,4.255,13.119,DOCeq_ppm,2019-12-19,2020-02-20,63,water,2.4779339080459772,1.0364333146683105
20,12,wet,Weeks,Rack,L2,9.025,NA,DOCeq_ppm,2019-12-12,2019-12-17,5,water,3.300027777777778,0.2982730653702377
19,11,wet,Weeks,Rack,L2,10.1,37.283,DOCeq_ppm,2019-11-17,2019-11-22,5,water,5.454170138888889,1.2758836094601964
17,10,wet,Weeks,Rack,L2,15.03,NA,DOCeq_ppm,2019-10-17,2019-10-24,7,water,8.182294270833333,0.31884071891807986
23,17,wet,Weeks,Rack,L3,3.782,12.489,DOCeq_ppm,2020-01-31,2020-02-20,20,water,3.0648638211382115,0.5592673504049063
20,12,wet,Weeks,Rack,L3,8.482,NA,DOCeq_ppm,2019-12-13,2019-12-17,4,water,3.2351125,0.2837656670881656
19,11,wet,Weeks,Rack,L3,10.62,39.816,DOCeq_ppm,2019-11-18,2019-11-22,4,water,5.194716666666666,1.2419836184538309
17,10,wet,Weeks,Rack,L3,16.12,NA,DOCeq_ppm,2019-10-18,2019-10-24,6,water,8.21663988095238,0.32488895657786593
23,NA,NA,Weeks,Grab,Grab,6.869,21.194,DOCeq_ppm,2020-01-09,2020-02-20,42,NA,NaN,NA
23,NA,NA,Weeks,Grab,Grab,6.952,NA,DOCeq_ppm,2020-02-20,2020-02-20,0,NA,NaN,NA
20,NA,NA,Weeks,Grab,Grab,7.415,29.624,DOCeq_ppm,2019-12-17,2019-12-17,0,NA,NaN,NA
20,NA,NA,Weeks,Grab,Grab,7.704,30.053,DOCeq_ppm,2019-12-16,2019-12-17,1,NA,NaN,NA
19,NA,NA,Weeks,Grab,Grab,9.016,34.314,DOCeq_ppm,2019-11-22,2019-11-22,0,NA,NaN,NA
17,NA,NA,Weeks,Grab,Grab,9.693,35.454,DOCeq_ppm,2019-10-23,2019-10-24,1,NA,NaN,NA
17,NA,NA,Weeks,Grab,Grab,9.745,34.426,DOCeq_ppm,2019-10-24,2019-10-24,0,NA,NaN,NA
18,NA,NA,Weeks,Grab,Grab,10,37.073,DOCeq_ppm,2019-11-14,2019-11-15,1,NA,NaN,NA
14,NA,NA,Weeks,Grab,Grab,10.25,NA,DOCeq_ppm,2019-08-22,2019-08-23,1,NA,NaN,NA
15,NA,NA,Weeks,Grab,Grab,13.44,30.349,DOCeq_ppm,2019-09-20,2019-09-21,1,NA,NaN,NA
16,NA,NA,Weeks,Grab,Grab,18.74,NA,DOCeq_ppm,2019-10-12,2019-10-12,0,NA,NaN,NA
23,NA,NA,Weeks,Rack,L1,4.222,NA,DOCeq_ppm,2019-12-18,2020-02-20,64,NA,NaN,NA
23,NA,NA,Weeks,Rack,L2,4.255,13.119,DOCeq_ppm,2019-12-19,2020-02-20,63,NA,NaN,NA
20,12,wet,ChrisCrk,Rack,L1,4.785,17.721,DOCeq_ppm,2019-12-11,2019-12-17,6,air,2.0481845238095238,1.7869373269998712
23,15,wet,ChrisCrk,Rack,L1,4.868,14.472,DOCeq_ppm,2019-12-18,2020-02-20,64,air,0.3954672405547585,2.823506007841784
19,11,wet,ChrisCrk,Rack,L1,5.634,19.466,DOCeq_ppm,2019-11-17,2019-11-22,5,air,2.366329861111111,3.792255266433828
17,10,wet,ChrisCrk,Rack,L1,6.001,21.487,DOCeq_ppm,2019-10-17,2019-10-24,7,air,6.581643229166667,2.072424068549151
20,12,wet,ChrisCrk,Rack,L2,4.565,16.489,DOCeq_ppm,2019-12-12,2019-12-17,5,air,1.7351875,1.7246494708994833
23,15,wet,ChrisCrk,Rack,L2,4.802,13.607,DOCeq_ppm,2019-12-18,2020-02-20,64,air,0.3954672405547585,2.823506007841784
19,11,wet,ChrisCrk,Rack,L2,6.746,23.493,DOCeq_ppm,2019-11-17,2019-11-22,5,air,2.366329861111111,3.792255266433828
17,10,wet,ChrisCrk,Rack,L2,9.055,30.717,DOCeq_ppm,2019-10-21,2019-10-24,3,air,6.9281145833333335,2.5131156102677714
23,15,wet,ChrisCrk,Rack,L3,1.937,6.847,DOCeq_ppm,2019-12-19,2020-02-20,63,air,0.3954672405547585,2.823506007841784
