stormnum,StartDate,EndDate,rain,ID
2,2018-10-27T10:15:00Z,2018-11-02T13:45:00Z,124.435,1
3,2018-11-03T12:30:00Z,2018-11-04T10:15:00Z,54.805,2
15,2018-11-25T19:45:00Z,2018-11-29T09:00:00Z,156.055,3
20,2018-12-09T12:15:00Z,2018-12-14T10:30:00Z,205.08,4
21,2018-12-15T00:45:00Z,2018-12-21T05:00:00Z,181.635,5
22,2018-12-22T09:45:00Z,2018-12-24T20:15:00Z,54.515,6
26,2019-01-02T19:45:00Z,2019-01-07T00:30:00Z,227.595,7
31,2019-01-17T07:45:00Z,2019-01-20T08:00:00Z,68.73,8
101,2019-09-12T19:00:00Z,2019-09-15T21:45:00Z,58.4,9
115,2019-10-15T19:15:00Z,2019-10-22T04:30:00Z,136.22,10
123,2019-11-15T10:00:00Z,2019-11-17T17:45:00Z,67.595,11
132,2019-12-10T17:00:00Z,2019-12-13T19:00:00Z,70.45,12
136,2019-12-18T11:45:00Z,2019-12-22T13:00:00Z,112.065,13
140,2019-12-31T00:00:00Z,2020-01-01T23:30:00Z,57.135,14
141,2020-01-02T17:30:00Z,2020-01-08T09:45:00Z,180.025,15
147,2020-01-18T18:15:00Z,2020-01-28T16:30:00Z,238.315,16
149,2020-01-30T17:15:00Z,2020-02-01T14:15:00Z,208.765,17
151,2020-02-05T07:30:00Z,2020-02-08T16:45:00Z,75.925,18
