trip,vial,NPOC_ppm,site,sample_type,sample,dt_sampled,fillStage_cm,analysis
10,1,5.549,West-Leech,Grab,Grab,2019-06-12T16:30:00Z,NA,DOC
10,2,6.369,Tunnel,Grab,Grab,2019-06-12T17:30:00Z,NA,DOC
10,3,5.02,Cragg-crk,Grab,Grab,2019-06-12T18:15:00Z,NA,DOC
10,4,6.842,Leech-head,Grab,Grab,2019-06-12T19:15:00Z,NA,DOC
10,5,12.81,Weeks-out,Grab,Grab,2019-06-12T20:45:00Z,NA,DOC
10,6,6.766,Chris-crk,Grab,Grab,2019-06-12T21:00:00Z,NA,DOC
10,7,10.26,Jarvis,Grab,Grab,2019-06-12T21:20:00Z,NA,DOC
10,8,7.171,Lazar,Grab,Grab,2019-06-12T19:35:00Z,NA,DOC
10,9,12.68,Rithet,Grab,Grab,2019-06-12T22:00:00Z,NA,DOC
10,10,0.8923,Lab,QA-QC,RO,NA,NA,DOC
11,1,1.266,Lab,QA-QC,RO,NA,NA,DOC
11,2,1.082,Lab,QA-QC,RO,NA,NA,DOC
11,3,1.041,Lab,QA-QC,RO,NA,NA,DOC
11,4,6.959,Deception-res,Grab,Grab,2019-06-28T15:45:00Z,NA,DOC
11,5,4.788,West-Leech,Grab,Grab,2019-06-28T16:30:00Z,NA,DOC
11,6,6.066,Tunnel,Grab,Grab,2019-06-28T17:45:00Z,NA,DOC
11,7,6.125,Tunnel,Grab,Grab,2019-06-28T17:45:00Z,NA,DOC
11,8,4.184,Cragg-crk,Grab,Grab,2019-06-28T18:30:00Z,NA,DOC
11,9,6.168,Leech-head,Grab,Grab,2019-06-28T19:30:00Z,NA,DOC
11,10,12.01,Weeks-out,Grab,Grab,2019-06-28T19:45:00Z,NA,DOC
11,11,6.55,Weeks-Lake,Grab,Grab,2019-06-28T20:15:00Z,NA,DOC
11,12,6.447,Chris-crk,Grab,Grab,2019-06-28T20:20:00Z,NA,DOC
11,13,4.479,Worley-Lake,Grab,Grab,2019-06-28T20:50:00Z,NA,DOC
11,14,5.919,Jarvis,Grab,Grab,2019-06-28T21:10:00Z,NA,DOC
11,15,8.951,Jarvis-Lake,Grab,Grab,2019-06-28T21:30:00Z,NA,DOC
11,16,5.965,Lazar,Grab,Grab,2019-06-28T21:40:00Z,NA,DOC
11,17,11.55,Rithet,Grab,Grab,2019-06-28T22:15:00Z,NA,DOC
11,18,1.048,Lab,QA-QC,RO,NA,NA,DOC
11,19,0.9395,Lab,QA-QC,RO,NA,NA,DOC
12,1,0.5333,Lab,QA-QC,RO,NA,NA,DOC
12,2,5.968,Tunnel,Grab,Grab,2019-07-15T16:30:00Z,NA,DOC
12,3,6.078,Tunnel,Grab,Grab,2019-07-16T16:30:00Z,NA,DOC
12,4,4.443,Cragg-crk,Grab,Grab,2019-07-16T17:30:00Z,NA,DOC
12,5,6.396,West-Leech,Grab,Grab,2019-07-17T14:45:00Z,NA,DOC
12,6,7.684,Leech-upstreamconfluence,Grab,Grab,2019-07-17T18:45:00Z,NA,DOC
12,7,5.766,W.L-Falls,Grab,Grab,2019-07-18T16:15:00Z,NA,DOC
12,8,6.508,Leech-head,Grab,Grab,2019-07-18T20:00:00Z,NA,DOC
12,9,8.515,Jarvis,Grab,Grab,2019-07-18T21:00:00Z,NA,DOC
12,10,5.588,Tunnel,Grab,Grab,2019-07-19T20:15:00Z,NA,DOC
12,11,0.8424,Lab,QA-QC,RO,NA,NA,DOC
12,12,0.6792,Lab,QA-QC,RO,NA,NA,DOC
13,1,10.92,Rithet,Grab,Grab,2019-07-24T16:00:00Z,NA,DOC
13,2,6.528,Lazar,Grab,Grab,2019-07-24T16:20:00Z,NA,DOC
13,3,9.178,Jarvis,Grab,Grab,2019-07-24T16:35:00Z,NA,DOC
13,4,6.042,Chris-crk,Grab,Grab,2019-07-24T17:15:00Z,NA,DOC
13,5,8.986,Weeks-out,Grab,Grab,2019-07-24T18:30:00Z,NA,DOC
13,6,6.017,Leech-head,Grab,Grab,2019-07-24T18:50:00Z,NA,DOC
13,7,3.751,Cragg-crk,Grab,Grab,2019-07-24T20:00:00Z,NA,DOC
13,8,6.495,Deception-res,Lake,0m,2019-07-25T16:30:00Z,NA,DOC
13,9,5.446,Deception-res,Lake,5m,2019-07-25T16:30:00Z,NA,DOC
13,10,5.8,Jarvis-Lake,Lake,mid,2019-07-25T19:45:00Z,NA,DOC
13,11,6.383,Weeks-Lake,Lake,Secchi+1,2019-07-26T17:00:00Z,NA,DOC
13,12,6.641,Weeks-Lake,Lake,Bottom,2019-07-26T17:00:00Z,NA,DOC
14,1,5.735,Cragg-crk,Grab,Grab,2019-08-21T15:30:00Z,NA,DOC
14,2,8.265,Chris-crk,Grab,Grab,2019-08-21T19:20:00Z,NA,DOC
14,3,8.502,Lazar,Grab,Grab,2019-08-21T15:00:00Z,NA,DOC
14,4,9.807,Jarvis,Grab,Grab,2019-08-21T15:10:00Z,NA,DOC
14,5,7.091,Leech-head,Grab,Grab,2019-08-22T15:20:00Z,NA,DOC
14,6,10.25,Weeks-out,Grab,Grab,2019-08-22T16:20:00Z,NA,DOC
14,7,6.469,Tunnel,Grab,Grab,2019-08-22T20:25:00Z,NA,DOC
14,8,4.684,West-Leech,Grab,Grab,2019-08-23T15:20:00Z,NA,DOC
14,9,7.14,Leech-head,Grab,Grab,2019-08-22T15:20:00Z,NA,DOC
15,1,7.227,Cragg-crk,Grab,Grab,2019-09-20T16:10:00Z,NA,DOC
15,2,9.037,Chris-crk,Grab,Grab,2019-09-20T17:25:00Z,NA,DOC
15,3,13.44,Weeks-out,Grab,Grab,2019-09-20T18:10:00Z,NA,DOC
15,4,12.91,Weeks-out,Rack,L1,NA,28,DOC
15,5,9.078,West-Leech,Grab,Grab,2019-09-20T20:30:00Z,NA,DOC
15,6,10.01,West-Leech,Rack,L1,NA,26,DOC
15,7,8.854,Tunnel,Grab,Grab,2019-09-20T21:30:00Z,NA,DOC
16,1,18.74,Weeks-out,Grab,Grab,2019-10-12T20:30:00Z,40,DOC
16,2,17.86,Weeks-out,Rack,L1,NA,31,DOC
16,3,11.64,Leech-head,Grab,Grab,2019-10-12T17:45:00Z,95,DOC
16,4,9.223,Leech-head,Rack,L1,NA,88,DOC
16,5,7.473,Cragg-crk,Grab,Grab,2019-10-12T16:00:00Z,15,DOC
16,6,6.853,Chris-crk,Grab,Grab,2019-10-12T22:00:00Z,NA,DOC
16,7,6.454,West-Jordan,Grab,Grab,2019-10-12T21:00:00Z,NA,DOC
16,8,16.73,Jarvis,Grab,Grab,2019-10-12T15:30:00Z,NA,DOC
16,9,8.646,Lazar,Grab,Grab,2019-10-12T15:00:00Z,NA,DOC
16,10,7.188,West-Leech,Grab,Grab,2019-10-12T15:00:00Z,18,DOC
16,11,9.442,West-Leech,Rack,L1,NA,23,DOC
16,12,7.625,Tunnel,Grab,Grab,2019-10-12T17:30:00Z,0,DOC
16,13,7.526,Tunnel,QA-QC,HoldTime-A1,2019-10-12T17:30:00Z,NA,DOC
16,14,7.61,Tunnel,QA-QC,HoldTime-A2,2019-10-12T17:30:00Z,NA,DOC
16,15,7.527,Tunnel,QA-QC,HoldTime-A3,2019-10-12T17:30:00Z,NA,DOC
16,16,7.536,Tunnel,QA-QC,HoldTime-A4,2019-10-12T17:30:00Z,NA,DOC
16,17,7.503,Tunnel,QA-QC,HoldTime-A5,2019-10-12T17:30:00Z,NA,DOC
17,1,9.342,Leech-head,Grab,Grab,2019-10-23T19:35:00Z,NA,DOC
17,2,7.903,Leech-head,Rack,L1,NA,98,DOC
17,3,9.808,Leech-head,Rack,L2,NA,117,DOC
17,4,10.57,Leech-head,Rack,L3,NA,131,DOC
17,5,8.292,Leech-head,Grab,Grab,2019-10-24T15:15:00Z,NA,DOC
17,6,9.693,Weeks-out,Grab,Grab,2019-10-23T20:15:00Z,NA,DOC
17,7,14.47,Weeks-out,Rack,L1,NA,43,DOC
17,8,15.03,Weeks-out,Rack,L2,NA,58,DOC
17,9,16.12,Weeks-out,Rack,L3,NA,71,DOC
17,10,9.745,Weeks-out,Grab,Grab,2019-10-24T15:54:00Z,NA,DOC
17,11,3.501,Chris-crk,Grab,Grab,2019-10-23T21:10:00Z,NA,DOC
17,12,6.001,Chris-crk,Rack,L1,NA,28,DOC
17,13,9.055,Chris-crk,Rack,L2,NA,38,DOC
17,14,3.334,Chris-crk,Grab,Grab,2019-10-24T16:01:00Z,NA,DOC
