trip,NPOC_ppm,site,sample_type,sample,dt_sampled,fillStage_cm,analysis,NO3.Neq_ppm,TOCeq_ppm,DOCeq_ppm,SAC254_Abs.m,pseudo254,SlopeRatio,E2E3,E4E6,two_seasons,SUVA,pseudo_SUVA
2,16.81,Weeks,Rack,L1,NA,30,DOC,0.675,19.923,15.735,NaN,32.786699999999996,1.0003722062333908,1.2420790170231406,1.0562956956312883,wet,1.9504283164782867,1.9504283164782867
2,19.07,Weeks,Rack,L2,NA,35,DOC,0.634,17.601,13.985,NaN,47.5355,0.9999581564427426,4.327891379876584,-5.181978353888749,wet,2.4926848453067643,2.4926848453067643
2,11.74,Weeks,Rack,L3,NA,40,DOC,0.749,15.616,12.323,NaN,42.05205,1.0000420995970356,4.341941843272548,-5.511282843894899,wet,3.5819463373083478,3.5819463373083478
2,12.93,Weeks,Rack,L4,NA,45,DOC,0.709,16.803,13.264,NaN,37.331649999999996,1.0000606592259293,4.315716149576525,-5.291773778920309,wet,2.887211910286156,2.887211910286156
2,12.32,Weeks,Rack,L5,NA,50,DOC,NaN,NaN,NaN,NaN,40.1659,1.000007723647403,4.3474810678656155,-6.369395017793594,wet,3.260219155844156,3.260219155844156
2,10.66,Weeks,Grab,Grab,2018-11-06T21:55:00Z,NA,DOC,0.538,16.339,13.075,NaN,21.104300000000002,1.000315062382503,4.357131480449152,-0.4513437231562155,wet,1.979765478424015,1.979765478424015
2,8.305,LeechHead,Rack,L1,NA,90,DOC,0.56,12.67,10.007,NaN,62.313500000000005,0.9998111881703611,4.299782955633578,-7.671022067363531,wet,7.5031306441902474,7.5031306441902474
2,9.335,LeechHead,Rack,L2,NA,100,DOC,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA
2,9.306,LeechHead,Rack,L3,NA,110,DOC,0.641,13.868,11.084,NaN,33.269800000000004,0.9992882755756672,4.25362274608426,-47.81927710843373,wet,3.5750913389211267,3.5750913389211267
2,9.406,LeechHead,Rack,L4,NA,120,DOC,0.621,13.978,11.256,NaN,33.20035,0.9997706432462878,4.3246094871826894,-4.189003436426117,wet,3.529699128216032,3.529699128216032
2,10.3,LeechHead,Rack,L5,NA,135,DOC,0.778,15.382,12.267,NaN,33.47825,0.9998040472777628,4.364557056869552,-2.510615934412445,wet,3.2503155339805825,3.2503155339805825
2,8.702,LeechHead,Grab,Grab,2018-11-06T20:20:00Z,NA,DOC,0.496,13.972,11.229,NaN,36.773849999999996,0.9998424807317422,4.343091837657055,-5.243691669547182,wet,4.225907837278786,4.225907837278786
2,5.411,ChrisCrk,Rack,L1,NA,30,DOC,0.252,8.861,7.147,NaN,33.51665,1.0001024515996642,4.355174785817023,-1.5991071428571428,wet,6.1941692847902425,6.1941692847902425
2,7.486,ChrisCrk,Rack,L2,NA,35,DOC,0.344,10.014,8.04,NaN,21.26695,0.9995749002762304,4.352802080870182,-0.6308780690803163,wet,2.840896339834358,2.840896339834358
2,9.157,ChrisCrk,Rack,L3,NA,45,DOC,0.521,11.884,9.356,NaN,24.01955,0.9994835391838296,4.3042086238058355,-1.0093487067622313,wet,2.6230807032871026,2.6230807032871026
2,7.041,ChrisCrk,Rack,L4,NA,55,DOC,0.403,10.784,8.635,NaN,28.472,0.9992210128097118,4.232146160303931,-3.5380011968880907,wet,4.0437437863939785,4.0437437863939785
2,3.827,ChrisCrk,Grab,Grab,2018-11-06T17:05:00Z,NA,DOC,0.027,6.198,5.137,NaN,25.857999999999997,0.9993637704574427,4.38311994663977,-1.4578899909828675,wet,6.756728507969688,6.756728507969688
2,5.07,CraggCrk,Rack,L1,NA,22,DOC,0.41,7.065,5.588,NaN,14.9096,1.0010606110620182,4.369116479528184,0.07319808339280254,wet,2.940749506903353,2.940749506903353
2,6.541,CraggCrk,Rack,L2,NA,35,DOC,0.696,9.076,7.292,NaN,16.9426,0.9993295812645016,4.150676231918147,-0.43222003929273084,wet,2.590215563369515,2.590215563369515
2,8.087,CraggCrk,Rack,L3,NA,45,DOC,0.625,10.915,9.02,NaN,21.7504,0.9989479306083021,4.3813163481953294,-0.8028297581013235,wet,2.68955113144553,2.68955113144553
2,8.219,CraggCrk,Rack,L4,NA,50,DOC,0.657,11.478,9.407,NaN,26.160249999999998,0.9993905319007352,4.664136752136752,-0.55075,wet,3.1828993794865554,3.1828993794865554
2,8.152,CraggCrk,Rack,L5,NA,75,DOC,0.53,12.117,9.871,NaN,27.50815,0.9996083822241805,4.62861751895467,-1.0707133917396747,wet,3.374405053974485,3.374405053974485
2,5.232,CraggCrk,Grab,Grab,2018-11-06T16:30:00Z,NA,DOC,0.149,8.044,6.621,NaN,29.06075,0.9997551458759877,4.466652891952124,-1.1415955254636443,wet,5.554424694189602,5.554424694189602
2,9.483,WestLeech,Rack,L1,NA,40,DOC,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA
2,10.36,WestLeech,Rack,L2,NA,45,DOC,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA
2,7.526,WestLeech,Rack,L3,NA,56,DOC,0.473,11.979,9.502,NaN,36.81315,0.9997276080362906,4.206900317820906,-13.063813229571984,wet,4.891462928514484,4.891462928514484
2,10.95,WestLeech,Rack,L4,NA,69,DOC,0.511,13.344,10.507,NaN,28.6911,0.9999074950193682,4.227582694321043,-2.739108787652477,wet,2.620191780821918,2.620191780821918
2,8.726,WestLeech,Rack,L5,NA,75,DOC,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA
2,4.635,WestLeech,Grab,Grab,2018-11-07T17:00:00Z,NA,DOC,0.114,8.005,6.598,NaN,32.35165,0.9995681401604924,4.011742288912707,12.74351585014409,wet,6.9798597626752965,6.9798597626752965
2,3.605,Weeks-Lake,Grab,Grab,2018-11-06T20:55:00Z,NA,DOC,0.035,5.71,4.642,NaN,19.24145,0.38487634504800217,4.333638443935927,-0.07475867734647772,wet,5.33743411927878,5.33743411927878
2,5.573,Leech-downstreamconf,Grab,Grab,2018-11-07T17:00:00Z,NA,DOC,0.1935,8.789,7.1545000000000005,NaN,18.725675000000003,1.0002474331379558,4.261155662968252,-0.746513470681458,wet,3.3600708774448234,3.3600708774448234
2,3.609,West-Jordan,Grab,Grab,2018-11-06T21:55:00Z,NA,DOC,0.006,6.411,5.033,NaN,21.1019,1.0002851936961676,4.40741412309862,-0.3866285986200333,wet,5.847021335550014,5.847021335550014
